time,cond,mu,sd,
-1,EHI0,36.20789128,0.58,
-0.5,EHI0,38.04322527,0.44,
0,EHI0,39.65630738,0.21,
0.5,EHI0,39.81942213,0.25,
1,EHI0,39.94306421,0.26,
1.5,EHI0,40.10108333,0.27,
2,EHI0,40.3451571,0.31,
2.5,EHI0,40.63794399,0.41,
3,EHI0,40.77760246,0.88,
3.5,EHI0,39.8154648,2.33,
4,EHI0,37.41817224,3.21,
4.5,EHI0,35.02500443,3.12,
5,EHI0,33.16813829,1.92,
5.5,EHI0,32.34234954,1.19,
6,EHI0,32.07878813,1.09,
6.5,EHI0,32.16043137,1.10,
7,EHI0,32.5854214,1.29,
7.5,EHI0,33.13548444,1.34,
8,EHI0,33.65172891,1.25,
8.5,EHI0,34.19133576,1.21,
9,EHI0,34.64810231,1.10,
9.5,EHI0,35.09575248,1.03,
10,EHI0,35.45024092,0.93,
10.5,EHI0,35.86088779,0.88,
11,EHI0,36.19471947,0.77,
11.5,EHI0,36.50500825,0.82,
12,EHI0,36.95719637,0.87,
12.5,EHI0,37.32124422,0.85,
13,EHI0,37.45406106,0.87,
13.5,EHI0,37.54881683,0.79,
14,EHI0,37.5270231,0.82,
14.5,EHI0,37.45857096,0.88,
15,EHI0,37.3960297,0.89,
15.5,EHI0,37.37134983,0.92,
16,EHI0,37.266453,0.87,
16.5,EHI0,37.19741914,0.88,
17,EHI0,37.06337294,0.89,
17.5,EHI0,36.99989439,0.82,
18,EHI0,37.00271122,0.83,
18.5,EHI0,36.99649505,0.87,
19,EHI0,36.85228053,0.89,
19.5,EHI0,36.71708416,0.87,
20,EHI0,36.67077538,0.79,
20.5,EHI0,36.56495215,0.72,
21,EHI0,36.54922112,0.65,
21.5,EHI0,36.56122772,0.69,
22,EHI0,36.68555221,0.65,
22.5,EHI0,36.85078078,0.76,
23,EHI0,37.28409076,0.68,
23.5,EHI0,37.27240758,0.66,
24,EHI0,37.11425849,0.73,
24.5,EHI0,36.95598574,0.72,
25,EHI0,36.96954814,0.71,
25.5,EHI0,37.06572998,0.75,
26,EHI0,36.97238614,0.78,
-1,EHI1,36.56624989,0.30,
-0.5,EHI1,38.24731667,0.43,
0,EHI1,39.9563,0.24,
0.5,EHI1,40.17778333,0.24,
1,EHI1,40.22034167,0.23,
1.5,EHI1,40.3204,0.26,
2,EHI1,40.47519583,0.30,
2.5,EHI1,40.49985874,0.32,
3,EHI1,40.55360417,0.82,
3.5,EHI1,40.70847083,0.95,
4,EHI1,40.6774125,1.25,
4.5,EHI1,40.18796192,2.15,
5,EHI1,39.08447042,2.54,
5.5,EHI1,37.77118864,2.78,
6,EHI1,36.65919243,2.49,
6.5,EHI1,35.76458185,1.51,
7,EHI1,35.27991608,0.69,
7.5,EHI1,35.2897607,0.58,
8,EHI1,35.49124107,0.70,
8.5,EHI1,35.66592161,0.73,
9,EHI1,36.03729484,0.73,
9.5,EHI1,36.43557895,0.55,
10,EHI1,36.61019444,0.60,
10.5,EHI1,36.68177778,0.67,
11,EHI1,36.72583333,0.59,
11.5,EHI1,36.8757037,0.55,
12,EHI1,37.1714537,0.55,
12.5,EHI1,37.40396296,0.59,
13,EHI1,37.32565741,0.59,
13.5,EHI1,37.32862963,0.64,
14,EHI1,37.23790741,0.69,
14.5,EHI1,37.12840741,0.74,
15,EHI1,37.08900926,0.65,
15.5,EHI1,37.05537037,0.75,
16,EHI1,37.06163889,0.68,
16.5,EHI1,36.89566667,0.73,
17,EHI1,36.77096296,0.88,
17.5,EHI1,36.78491667,0.87,
18,EHI1,36.70437963,0.83,
18.5,EHI1,36.74094444,0.88,
19,EHI1,36.76600926,0.69,
19.5,EHI1,36.89839815,0.69,
20,EHI1,37.01962037,0.76,
20.5,EHI1,37.20591667,0.73,
21,EHI1,37.06439847,0.73,
21.5,EHI1,36.98515741,0.69,
22,EHI1,36.77396296,0.70,
22.5,EHI1,36.70363889,0.64,
23,EHI1,36.87412037,0.75,
23.5,EHI1,36.93278704,0.61,
24,EHI1,36.7169537,0.61,
24.5,EHI1,36.61260185,0.50,
25,EHI1,36.56939815,0.45,
25.5,EHI1,36.91906481,0.69,
26,EHI1,36.82176852,0.76,
-1,EHI3,36.38933291,0.582332899,
-0.5,EHI3,38.26780808,0.434038297,
0,EHI3,40.01533838,0.221480684,
0.5,EHI3,40.29651515,0.232360761,
1,EHI3,40.3574697,0.205445664,
1.5,EHI3,40.44718687,0.221360592,
2,EHI3,40.56443939,0.230050541,
2.5,EHI3,40.72160101,0.306570025,
3,EHI3,40.81520202,0.398600119,
3.5,EHI3,40.90401693,1.012356153,
4,EHI3,40.49719131,1.618331894,
4.5,EHI3,39.05349234,3.056097335,
5,EHI3,37.12286485,3.082283878,
5.5,EHI3,35.57569762,3.087361095,
6,EHI3,34.60590592,2.120772665,
6.5,EHI3,34.19434125,1.454615093,
7,EHI3,34.18820286,0.949721699,
7.5,EHI3,34.26501826,0.992896135,
8,EHI3,34.51707018,0.912964283,
8.5,EHI3,34.98481718,0.793615825,
9,EHI3,35.21690476,1.03385456,
9.5,EHI3,35.45845556,0.746077253,
10,EHI3,35.81548889,0.767808894,
10.5,EHI3,35.96811111,0.627826241,
11,EHI3,36.05711111,0.553016352,
11.5,EHI3,36.58841111,0.667171564,
12,EHI3,37.02831111,0.891677839,
12.5,EHI3,37.10132222,0.861727016,
13,EHI3,37.04882222,0.910153688,
13.5,EHI3,37.09411111,0.818050753,
14,EHI3,37.03446667,0.709431474,
14.5,EHI3,37.10405556,0.773544416,
15,EHI3,37.2035,0.738800358,
15.5,EHI3,37.03763333,0.752643767,
16,EHI3,36.94538889,0.667164789,
16.5,EHI3,36.91292222,0.75441263,
17,EHI3,36.89954444,0.793291162,
17.5,EHI3,36.95175556,0.73208667,
18,EHI3,36.97354444,0.826519333,
18.5,EHI3,37.08431111,1.013958185,
19,EHI3,37.10802222,0.90921946,
19.5,EHI3,36.96702222,0.927034883,
20,EHI3,36.7596,0.890555939,
20.5,EHI3,36.7669,0.840754269,
21,EHI3,36.59485556,0.535517984,
21.5,EHI3,36.58343333,0.496097588,
22,EHI3,36.5407,0.614046678,
22.5,EHI3,36.54643333,0.62807965,
23,EHI3,36.88183333,0.598712885,
23.5,EHI3,36.84583333,0.607101767,
24,EHI3,36.59956667,0.588443578,
24.5,EHI3,36.58453333,0.670497633,
25,EHI3,36.6855,0.733151623,
25.5,EHI3,36.72862222,0.762909875,
26,EHI3,36.52982682,0.761556922,
-1,EHI7,36.39640278,0.665515528,
-0.5,EHI7,38.26191204,0.363950142,
0,EHI7,39.88194444,0.231164516,
0.5,EHI7,40.08074074,0.276388737,
1,EHI7,40.12850926,0.28331136,
1.5,EHI7,40.18672685,0.293401132,
2,EHI7,40.36130093,0.293488403,
2.5,EHI7,40.54459259,0.300014157,
3,EHI7,40.70121296,0.347411934,
3.5,EHI7,40.913375,0.462409398,
4,EHI7,40.46826787,1.346150142,
4.5,EHI7,38.79643215,2.825863777,
5,EHI7,36.97384424,3.28261734,
5.5,EHI7,35.64747564,3.077750043,
6,EHI7,34.4357353,1.656810571,
6.5,EHI7,33.86820056,0.739687125,
7,EHI7,33.85602904,0.784401404,
7.5,EHI7,34.08819148,0.773910985,
8,EHI7,34.66091952,1.100538354,
8.5,EHI7,34.90690177,1.023959464,
9,EHI7,35.39683701,0.972323256,
9.5,EHI7,35.48865625,0.858947486,
10,EHI7,35.95873958,0.673086643,
10.5,EHI7,36.1974375,0.852798658,
11,EHI7,36.51344792,0.734122068,
11.5,EHI7,36.78475,0.687901387,
12,EHI7,37.296375,0.553273523,
12.5,EHI7,37.55842708,0.742999494,
13,EHI7,37.54082292,0.601811708,
13.5,EHI7,37.67240625,0.613261369,
14,EHI7,37.46733333,0.717340425,
14.5,EHI7,37.23916667,0.803546597,
15,EHI7,37.05398958,0.795967509,
15.5,EHI7,36.93161458,0.760842437,
16,EHI7,37.07376042,0.762503698,
16.5,EHI7,36.88410417,0.712741101,
17,EHI7,36.4061875,0.541815248,
17.5,EHI7,36.74013542,0.758936976,
18,EHI7,36.95901042,0.916139322,
18.5,EHI7,37.11640625,0.834920012,
19,EHI7,37.12696875,0.772686696,
19.5,EHI7,37.12395833,0.825928574,
20,EHI7,36.8928125,0.935861164,
20.5,EHI7,36.7981875,0.845247248,
21,EHI7,36.5463125,0.85258647,
21.5,EHI7,36.41153125,0.706363096,
22,EHI7,36.50052083,0.720704968,
22.5,EHI7,36.58511458,0.744787884,
23,EHI7,37.00334781,0.745733143,
23.5,EHI7,37.03092708,0.667071372,
24,EHI7,36.86811161,0.834960052,
24.5,EHI7,36.52946429,0.592602255,
25,EHI7,36.34566667,0.579912007,
25.5,EHI7,36.37760773,0.677296569,
26,EHI7,36.30888906,0.618090866,
-1,EXC,36.35931731,0.59,
-0.5,EXC,37.81114594,0.48,
0,EXC,38.22476763,0.42,
0.5,EXC,38.04253365,0.50,
1,EXC,37.83363301,0.51,
1.5,EXC,37.71833013,0.47,
2,EXC,37.63716987,0.45,
2.5,EXC,37.48937685,0.42,
3,EXC,37.24856487,0.60,
3.5,EXC,36.3872369,0.80,
4,EXC,35.7419444,0.65,
4.5,EXC,35.508412,0.54,
5,EXC,35.56644107,0.64,
5.5,EXC,35.66276321,0.76,
6,EXC,35.74746788,0.73,
6.5,EXC,35.86740455,0.74,
7,EXC,36.13117311,0.94,
7.5,EXC,35.85795977,1.02,
8,EXC,35.63425725,0.94,
8.5,EXC,35.5932433,0.85,
9,EXC,35.56410536,0.64,
9.5,EXC,35.64823946,0.67,
10,EXC,36.02616475,0.80,
10.5,EXC,36.45822414,0.86,
11,EXC,37.06528927,0.96,
11.5,EXC,37.76432567,0.69,
12,EXC,37.91184291,0.65,
12.5,EXC,37.8900728,0.60,
13,EXC,37.83256897,0.76,
13.5,EXC,37.79049234,0.84,
14,EXC,37.76733142,0.85,
14.5,EXC,37.76659195,0.76,
15,EXC,37.7045613,0.84,
15.5,EXC,37.57263892,1.02,
16,EXC,37.44714559,1.09,
16.5,EXC,37.36566858,1.17,
17,EXC,37.27197318,1.17,
17.5,EXC,37.19184291,1.10,
18,EXC,37.0421954,1.11,
18.5,EXC,36.46923755,1.16,
19,EXC,36.19559962,1.00,
19.5,EXC,36.19952299,0.92,
20,EXC,36.25098276,0.96,
20.5,EXC,36.50681992,0.99,
21,EXC,36.74543295,0.93,
21.5,EXC,36.7955728,1.03,
22,EXC,36.8437961,1.00,
22.5,EXC,36.87573158,0.99,
23,EXC,36.80307663,0.92,
23.5,EXC,36.5336224,0.87,
24,EXC,36.25074138,0.87,
24.5,EXC,36.02614368,0.82,
25,EXC,35.88100766,0.65,
25.5,EXC,35.8271209,0.62,
26,EXC,35.76147971,0.63,
