yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
775,790,*,min-30,EHI,0.75,1.25,1
775,790,*c,min-30,EHI,1.75,2.25,2
775,790,*b,min-30,EHI,2.75,3.25,3
775,790,*,min-30,EHI,3.75,4.25,4
775,790,*,hr-3,EHI,0.75,1.25,1
775,790,*cd,hr-3,EHI,1.75,2.25,2
775,790,*b,hr-3,EHI,2.75,3.25,3
775,790,*b,hr-3,EHI,3.75,4.25,4
