yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
625,640,*b,min-30,EHI,0.75,1.25,1
625,640,*acd,min-30,EHI,1.75,2.25,2
625,640,*b,min-30,EHI,2.75,3.25,3
625,640,*b,min-30,EHI,3.75,4.25,4
625,640,*bcd,hr-3,EHI,0.75,1.25,1
625,640,a,hr-3,EHI,1.75,2.25,2
625,640,a,hr-3,EHI,2.75,3.25,3
625,640,a,hr-3,EHI,3.75,4.25,4
625,640,*,day-7,EHI,2.75,3.25,3
625,640,*,day-7,EHI,3.75,4.25,4
