EHI0,EHI1,EHI3,EHI7
11.42,17.01,14.87,13.93
10.62,14.17,15.44,15.76
13.36,12.39,15.38,13.57
12.34,13.01,18.22,14.7
10.33,9.88,17.2,14.61
12.69,10.65,15.45,15.31
13.67,14.61,12.5,15.32
12.94,10.78,10.33,13.86
12.14,11.47,14.8,13.83
16.06,13.06,15.76,12.44
12.87,14.4,13.79,11.6
11.28,12.75,14.71,12.18
11.06,13.11,14.23,12.35
9.83,17.33,15.61,15.31
10.78,15.85,12.5,17.94
10.15,12.5,16.78,15.02
9.96,17.33,14.83,13.41
12.07,13.24,14.86,13.22
9.34,14.4,14.96,14.97
10.56,16.66,14.23,14.22
11.11,14.97,12.31,15.26
13.74,13.02,17.16,9.88
10.3,16.74,15.35,15.04
12.26,18.06,12.99,11.51
10.89,13.14,11.5,14.28
10.71,14.85,13.04,11.45
14.33,13.24,13.35,15.35
14.11,12.34,15.18,13.75
10.54,14.46,17.62,16.04
9.09,13,15.89,13.09
14.95,16.6,11.03,15.41
10.72,13.8,14.39,12.45
11.74,15.05,13.43,12.59
11.57,16.11,,13.8
13.36,8.82,,15.48
12.21,16.36,,13.33
9.16,12,,
14.57,16.11,,
13.95,15.18,,
14.22,14.78,,
14.72,,,
11.47,,,
10.74,,,
13.56,,,
13.02,,,
12.35,,,
8.45,,,
10.8,,,
11.79,,,
12.55,,,
10.54,,,
8.94,,,
15.68,,,
13.33,,,
7.88,,,
14.45,,,
13.11,,,
13.02,,,
14.54,,,
14.84,,,
11.06,,,
13.04,,,
12.65,,,
11.19,,,
13.56,,,
12.14,,,
9.91,,,
13.36,,,
11.5,,,
14.12,,,
10.28,,,
14.02,,,
12.96,,,
7.37,,,
14.61,,,
12.65,,,
13.76,,,
14.69,,,
13.44,,,
12.29,,,
11.74,,,
13.96,,,
13.24,,,
14.48,,,
12.6,,,
10.22,,,
10.26,,,
11.38,,,
11.02,,,
13.07,,,
13.2,,,
14.39,,,
14.22,,,
11.69,,,
13.45,,,
12.12,,,
12.4,,,
,,,
12.5,,,
10,,,
14.58,,,
12.65,,,
12.12,,,
12.59,,,
10.81,,,
11.67,,,
13.55,,,
15.16,,,
14.56,,,
10.91,,,
11.06,,,
10.35,,,
11.19,,,
13.86,,,
13.5,,,
10.64,,,
13.3,,,
15.76,,,
9.92,,,
12.6,,,
12.4,,,
17.44,,,
11.67,,,
11.97,,,
11.86,,,
13.63,,,
11.69,,,
12.5,,,
13.43,,,
11.86,,,
13,,,
10.65,,,
12.69,,,
11.15,,,
11.69,,,
10,,,
11.95,,,
14.22,,,
15.72,,,
13.85,,,
13,,,
11.02,,,
13.82,,,
12.69,,,
11.88,,,
8.66,,,
12.55,,,
8.66,,,
14.64,,,
11.6,,,
12.44,,,
13.2,,,
13.43,,,
11.76,,,
13.56,,,
13.74,,,
12.1,,,
10.83,,,
13.38,,,
13.94,,,
