yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
900,915,*,min-30,EHI,0.75,1.25,1
900,915,*,min-30,EHI,1.75,2.25,2
900,915,*,min-30,EHI,2.75,3.25,3
900,915,*,min-30,EHI,3.75,4.25,4
900,915,*b,hr-3,EHI,0.75,1.25,1
900,915,*a,hr-3,EHI,1.75,2.25,2
900,915,*,hr-3,EHI,2.75,3.25,3
900,915,*,hr-3,EHI,3.75,4.25,4
