EHI0,EHI1,EHI3,EHI7
706.86,956.81,1000.96,1161.06
593.33,1147,1063.71,913.78
653.51,1012.89,771.11,835.94
690.97,898.63,1184.19,957.52
794.9,1114.77,1117.63,917.19
725.47,1034.34,986.11,687.78
704.74,1169.4,911.62,1140.97
706.06,862.81,914.56,795.48
837.84,1228.07,999.29,759.34
635.85,1290.04,963.47,750.22
591.82,958.67,1070.69,843.92
670.64,1052.25,1099.94,910.35
618.75,938.74,1303.11,901.59
515.82,1041.85,852.19,1084.45
817.87,819.22,1339.49,1020.94
607.99,848.16,806.09,965.5
618.83,975.5,638.64,1290.7
764.3,1226.39,954.21,698.09
677.08,883.86,1253.83,918.12
814.56,996.56,904.63,894.95
644.93,1056.53,1017.99,1088.51
733.57,1213.82,1037.26,1018.09
697.56,888.16,1089.05,1034.57
628.92,,869.2,848.91
674.9,1180.91,1031.83,987.92
851.06,1122.14,796.86,1033.2
639.84,1299.28,1021.48,891.75
788.57,1098.15,814.64,931.19
874.11,976.56,777.77,987.04
642.92,1234.72,967.72,738.41
921.18,504.17,797.81,
799.21,1181.1,1104.18,777.54
632,1054.32,815.86,1039.68
750.16,1030.85,,835.89
775.45,1044.51,,
695.34,1130.29,,
,,,
662.32,,,
733.62,,,
824.44,,,
789.87,,,
804.88,,,
718.94,,,
680.32,,,
723.65,,,
708.41,,,
850.14,,,
566.45,,,
793.37,,,
281.41,,,
716.24,,,
678.23,,,
670.54,,,
771.72,,,
688.03,,,
861.25,,,
684.57,,,
645.08,,,
780.26,,,
703.4,,,
583.24,,,
634.5,,,
839.52,,,
691.68,,,
856.29,,,
682.66,,,
667.21,,,
755.76,,,
754.46,,,
829.8,,,
690.24,,,
866.79,,,
765.57,,,
,,,
833.11,,,
864.86,,,
639.72,,,
699.33,,,
749.85,,,
759.75,,,
685.03,,,
820.84,,,
790.99,,,
877.28,,,
894.73,,,
861.03,,,
833.77,,,
862.05,,,
698.36,,,
743.24,,,
728.46,,,
645.22,,,
725.74,,,
558.29,,,
741.71,,,
704.96,,,
664.93,,,
620.6,,,
799.98,,,
560.98,,,
751.23,,,
758.16,,,
629.03,,,
821.56,,,
607.29,,,
731.06,,,
636.19,,,
,,,
835.59,,,
709.83,,,
693.87,,,
727.91,,,
602.1,,,
674.09,,,
813.34,,,
875.09,,,
612.26,,,
641.83,,,
832.51,,,
878.68,,,
823.28,,,
787.9,,,
880.37,,,
790.02,,,
748.4,,,
710.77,,,
725.52,,,
735.74,,,
695.97,,,
795.25,,,
633.63,,,
813.7,,,
688.04,,,
667.17,,,
834.62,,,
904.26,,,
855.25,,,
796.85,,,
609.34,,,
774.01,,,
626.29,,,
671.18,,,
