Animal,Type,Recovery,SacTime,FABP2,HSP70PL,HSP70LIV,Cort,GCSF,IL5,IL6,IL10,IL13,IP10,KC,MIP1a,MIP1b,MIP2,RANTES
m190061,EHS,hit1,min30,.,2.09,0.212,537505.221,1105,14.47,90.02,16.7,44.93,445.82,1928,29.11,221.85,221.2,22.67
m190074,EHS,hit1,min30,66.626,2.511,0.235,301576.945,668.11,36.34,87.14,21.87,44.93,301.81,1870,14.69,270.7,115.25,2.44
m190105,EHS,hit1,min30,85.043,1.796,0.403,446060.161,1204,39.63,230.92,21.87,48.54,367.7,1488,5.24,162.81,138.8,6.64
m190118,EHS,hit1,min30,121.622,1.807,0.429,462343.156,697.59,6.39,157.05,10.47,32.66,408.14,301.41,29.11,408.65,221.2,13.49
m190125,EHS,hit1,min30,181.208,2.123,0.306,407265.143,581.07,11,163.32,27.36,25.98,375.34,1261,5.24,368.94,321.74,5.2
m190163,EHS,hit1,min30,42.779,1.576,0.49,582175.362,214.92,16.16,45.92,15.07,25.98,249.03,567.99,19.32,219.31,90.05,4.26
m190242,EHS,hit1,min30,455.633,1.197,0.498,394793.108,598.05,18.63,98.31,5.23,34.37,616.38,1767,10.32,212.84,239.54,1.53
m200025,EHS,hit1,min30,193.374,2.369,0.508,304691.925,295.83,5.33,36.81,4.06,18.86,220.97,445.92,5.78,95.49,32,29.26
m200044,EHS,hit1,min30,189.774,2.093,0.469,410570.47,621.6,10.94,101.92,24.56,16.49,333.61,821.64,6.42,211.78,273.3,16.33
m190062,EHS,hit1,hr3,21.543,1.417,1.388,213022.195,1592,20.26,19.5,10.47,32.66,441.45,853.71,5.24,9.5,5.09,1.58
m190075,EHS,hit1,hr3,66.542,0.754,1.703,334995.286,2516,20.26,83.62,77.84,36.1,551.74,1332,19.32,34.29,127.21,4.26
m190106,EHS,hit1,hr3,15.44,1.996,1.784,73943.515,1957,31.51,12.38,25.49,70.84,417.63,752.1,181.02,68.34,221.2,24.08
m190119,EHS,hit1,hr3,26.426,1.309,2.016,274528.916,4508,5.4,24.37,62.31,44.93,2120,1596,10.32,74.78,115.25,8.59
m190126,EHS,hit1,hr3,21.875,1.738,1.271,535921.272,1876,37.08,62.97,80.09,29.28,637.71,838.47,6.34,74.78,5.09,4.26
m190139,EHS,hit1,hr3,14.838,2.768,2.265,167851.678,2526,6.39,27.8,10.47,39.59,505.6,1508,19.32,34.29,90.05,3.34
m190151,EHS,hit1,hr3,.,1.933,2.088,240133.777,6170,11,43.94,45.23,46.73,495.89,1357,39.28,51.55,239.54,19.81
m200035,EHS,hit1,hr3,53.734,1.369,1.892,248399.646,1618,7.34,24.7,175.99,31.76,480.25,1298,48.88,56.46,87.56,15.07
m200045,EHS,hit1,hr3,41.248,0.981,2.029,369616.418,4031,89.63,89.15,39.53,23.84,525.42,2760,23.88,54.23,295.91,4.82
m190004,EHS,hit1,d1,6.429,1.083,3.588,12206.915,487.24,34.12,16.68,9.05,36.1,173.33,94.19,49.63,9.5,62.77,5.2
m190010,EHS,hit1,d1,7.26,1.627,3.035,5955.2,225.43,11.88,8.72,4.76,39.59,146.37,154.98,128.94,39.86,90.05,4.26
m190088,EHS,hit1,d1,.,1.168,1.419,.,186.25,34.28,29.88,10.81,37.27,176.91,65.19,140.83,39.23,175.93,4.82
m190120,EHS,hit1,d1,11.768,1.849,3.932,30623.603,204.41,14.47,6.46,4.76,29.28,300.22,199.11,29.11,39.86,5.09,1.58
m190140,EHS,hit1,d1,6.48,1.405,1.528,8155.221,156.97,19.45,16.68,4.76,29.28,155.64,84.84,100.42,9.5,32.55,9.08
m190152,EHS,hit1,d1,7.309,1.294,4.443,18924.763,408.74,13.62,4.92,4.76,30.96,156.02,170.38,59.99,9.5,5.09,1.53
m190217,EHS,hit1,d1,6.412,1.267,1.86,8915.327,144.87,9.2,17.39,4.76,30.96,194.4,154.01,24.14,9.5,5.09,4.26
m190229,EHS,hit1,d1,7.785,1.798,1.443,6152.702,422.08,16.16,24.37,4.76,22.76,104.57,159.8,6.34,9.5,5.09,1.53
m190241,EHS,hit1,d1,6.746,0.997,4.088,11116.436,205.91,24.23,35.25,4.76,29.28,224.25,136.13,39.28,9.5,5.09,9.57
m190063,EHS,hit1,d7,9.957,1.341,0.293,37181.62624,166.24,21.97,20.69,17.84,60.58,145.88,82.12,99.76,66.86,563.59,69.46
m190076,EHS,hit1,d7,6.221,0.934,0.176,2311.026322,292.46,15.39,13.41,4.06,16.49,180.6,124.03,37.33,48.36,32,4.82
m190089,EHS,hit1,d7,.,.,0.099,16970.04483,216.33,5.33,11.77,4.06,16.49,141.93,81.71,6.42,36.35,87.56,4.82
m190127,EHS,hit1,d7,.,1.533,0.41,6459.627936,180.13,39.55,5.44,4.06,37.27,126.46,80.08,30.91,49.57,32,4.82
m190199,EHS,hit1,d7,12.526,0.798,0.388,48138.13647,102.01,5.33,5.44,4.06,22.57,124.27,16.25,23.88,8.95,32,6.41
m190204,EHS,hit1,d7,7.161,0.206,0.228,28835.42659,161.8,18,10.96,4.06,20.08,99.73,29.97,5.78,26.62,32,4.82
m200001,EHS,hit1,d7,9.611,0.844,0.313,19800.80753,421.89,7.05,5.44,4.06,8.84,100.1,220.78,5.78,8.95,,18.2
m200013,EHS,hit1,d7,8.587,.,0.655,.,.,.,.,.,.,.,.,.,.,.,.
m200036,EHS,hit1,d7,10.726,.,0.556,.,.,.,.,.,.,.,.,.,.,.,.
m190033,EHS,hit2rec1,min30,.,3.012,2.888,347032.879,783.78,28.1,100.86,17.54,30.96,137.87,560.2,14.69,9.5,32.55,5.2
m190034,EHS,hit2rec1,min30,.,51.144,2.068,426203.067,1743,237.11,448.99,53.67,57.71,343.67,2117,49.63,113.3,306.39,22.67
m190037,EHS,hit2rec1,min30,92.042,16.032,2.633,283547.572,2055,51.01,233.74,29.25,29.28,239.44,1845,10.32,74.78,5.09,6.16
m190038,EHS,hit2rec1,min30,29.11,4.656,3.201,223999.061,817.66,16.16,122.41,21.87,34.37,210.11,1183,19.32,77.83,5.09,5.2
m190090,EHS,hit2rec1,min30,25.537,4.004,2.297,341947.819,1017,18.22,41.94,4.76,29.28,249.72,858.19,5.24,19.79,5.09,1.53
m190128,EHS,hit2rec1,min30,38.042,3.542,2.32,723891.545,335.19,18.63,113.24,6.42,22.76,259.73,1262,14.69,9.5,32.55,1.53
m190129,EHS,hit2rec1,min30,21.958,2.534,4.099,267402.055,574.43,142.1,126.2,6.42,19.64,229.99,1448,5.24,9.5,5.09,1.53
m200014,EHS,hit2rec1,min30,15.551,5.289,2.12,254290.3,.,.,.,.,.,.,.,.,.,.,.
m200026,EHS,hit2rec1,min30,132.595,5.503,6.626,449133.244,314.95,5.33,12.59,10.81,9.92,149.98,91.46,5.78,62.83,32,4.82
m190065,EHS,hit2rec1,hr3,6.395,3.189,2.223,18291.65,1849,19.45,25.74,4.76,30.96,192.86,309.4,10.32,9.5,32.55,3.8
m190078,EHS,hit2rec1,hr3,6.183,2.741,3.535,57231.664,1245,6.39,17.39,11.94,25.98,217.56,943.44,19.32,9.5,62.77,9.08
m190097,EHS,hit2rec1,hr3,6.725,4.189,6.132,55517.589,387.96,8.28,19.5,4.76,24.36,252.46,544.61,5.24,9.5,32.55,1.53
m190108,EHS,hit2rec1,hr3,6.863,10.118,8.733,37028.225,182.6,31.51,9.46,4.76,25.98,225.81,184.76,5.24,9.5,5.09,1.53
m190121,EHS,hit2rec1,hr3,4.702,3.031,6.034,25997.235,1281,3.12,5.69,4.76,29.28,233.3,540.48,49.63,9.5,32.55,1.53
m190130,EHS,hit2rec1,hr3,5.698,2.58,5.411,24678.791,589.93,128.54,14.19,4.76,19.64,200.17,458.48,5.24,9.5,5.09,1.53
m200002,EHS,hit2rec1,hr3,4.816,1.499,2.761,33267.499,.,.,.,.,.,.,.,.,.,.,.
m200027,EHS,hit2rec1,hr3,14.811,10.41,5.462,43010.496,747.39,5.33,5.44,4.06,14.19,147.64,355.42,5.78,13.45,32,4.82
m200038,EHS,hit2rec1,hr3,12.684,2.107,2.647,80081.394,698.89,23.97,5.44,4.06,13.08,197.86,396.27,5.78,8.95,32,4.82
m190013,EHS,hit2rec1,d1,7.551,1.148,3.249,14110.52145,372.37,7.34,13.11,6.42,43.14,176.01,152.09,39.28,9.5,5.09,9.08
m190064,EHS,hit2rec1,d1,6.893,1.279,3.257,10135.47576,297.2,18.63,11.66,15.88,54.02,124.32,162.68,59.99,55.65,115.25,11.04
m190077,EHS,hit2rec1,d1,7.349,.,1.654,6471.615194,222.43,4.39,2.93,4.76,27.62,157.16,94.69,6.34,9.5,5.09,1.53
m190107,EHS,hit2rec1,d1,7.713,1.585,4.052,22909.11167,275.56,8.28,6.08,4.76,29.28,132.69,160.76,5.24,9.5,5.09,1.53
m190109,EHS,hit2rec1,d1,5.847,.,3.028,8864.705523,242.66,16.99,39.28,4.76,32.66,134.38,87.8,5.24,9.5,5.09,2.44
