Animal,Type,Recovery,SacTime,FABP2,HSP70PL,HSP70LIV,Cort,GCSF,IL5,IL6,IL10,IL13,IP10,KC,MIP1a,MIP1b,MIP2,RANTES
m190122,EHS,hit2rec1,d1,12.812,1.664,5.074,15732.4856,521.99,37.08,139.44,4.76,39.59,119.07,622.82,5.24,9.5,32.55,4.26
m200037,EHS,hit2rec1,d1,,1.089,1.778,20369.98963,139.62,6.77,5.44,4.06,16.49,101.18,47.31,5.78,8.95,32,4.82
m200043,EHS,hit2rec1,d1,11.358,1.207,2.79,5466.194776,165.13,5.33,5.44,4.06,30.41,100.53,53.34,77.15,34.86,138,11.17
m200046,EHS,hit2rec1,d1,12.802,0.206,6.273,7191.686607,.,.,.,.,.,.,.,.,.,.,.
m190014,EHS,hit2rec1,d7,5.453,0.889,0.246,4117.872807,107.53,11.87,8.08,4.06,26.43,134.62,87.41,6.42,36.35,32,4.82
m190024,EHS,hit2rec1,d7,8.61,0.76,0.214,14108.24984,192.93,29.96,29.3,4.06,31.76,245.53,89.03,77.15,26.62,32,7.79
m190066,EHS,hit2rec1,d7,.,0.865,0.261,2639.843727,725.16,30.63,17.02,4.06,26.43,116.34,174.12,43.29,51.93,87.56,13.79
m190079,EHS,hit2rec1,d7,.,1.14,0.193,33119.91361,144.05,5.33,10.17,4.06,29.07,183.33,151.19,68.53,22.82,87.56,15.07
m190110,EHS,hit2rec1,d7,.,1.301,0.401,49496.63666,124.67,23.97,5.44,4.06,37.27,146.32,73.5,63.95,56.46,48.74,17.58
m190123,EHS,hit2rec1,d7,7.499,1.357,0.277,18626.43337,98.15,5.94,11.23,4.06,29.07,138.86,84.16,43.29,41.97,32,12.49
m190218,EHS,hit2rec1,d7,13.231,0.927,0.053,15608.51691,166.8,35.93,28.15,4.06,26.43,143.61,60.14,23.88,30.1,87.56,5.02
m190230,EHS,hit2rec1,d7,8.987,.,0.36,.,134.08,10.32,5.44,4.06,16.49,112.57,23.94,48.88,16.12,32,4.82
m200047,EHS,hit2rec1,d7,4.016,.,0.785,.,70.02,11.56,5.44,4.06,16.49,127.91,88.22,5.78,8.95,157.96,4.82
m190141,EHS,hit2rec3,min30,52.954,2.158,0.51,660690.399,239.78,32.95,146.68,4.06,21.32,287.88,647.53,30.91,86.65,207.81,4.82
m190153,EHS,hit2rec3,min30,55.134,3.664,1.598,377579.879,174.02,15.07,92.21,4.06,16.49,261.17,540.46,6.42,22.82,138,4.82
m190166,EHS,hit2rec3,min30,158.335,1.961,0.844,526217.191,344.27,25.3,43.17,4.06,17.66,207.61,514.72,92.68,45.87,222.25,7.11
m190177,EHS,hit2rec3,min30,234.681,2.364,0.975,505807.829,4177,29.3,133.69,39.53,116.79,196.15,1010,5.78,93.93,138,5.02
m190201,EHS,hit2rec3,min30,48.017,1.439,0.859,520159.916,375.36,11.56,28.73,8.36,9.92,293.38,377.49,5.78,84.99,138,4.82
m190202,EHS,hit2rec3,min30,110.474,2.24,1.144,423054.595,1179,12.5,43.17,4.06,26.43,276.44,891,48.88,173.45,115.18,13.79
m200040,EHS,hit2rec3,min30,132.346,1.344,1.841,265166.733,27.07,5.33,8.08,4.06,14.19,213.57,1012,5.78,104.56,157.96,5.02
m200049,EHS,hit2rec3,min30,70.248,1.904,2.279,232586.488,1648,141.42,540.99,71.9,37.27,239.5,3189,37.33,220.89,327.24,13.14
m200052,EHS,hit2rec3,min30,261.39,3.306,1.455,273290.28,99.25,18.66,54.66,17.84,21.32,253.23,526.16,59.17,120.63,48.74,6.41
m190142,EHS,hit2rec3,hr3,32.1,1.562,1.646,391224.715,855.05,10.01,8.34,4.06,21.32,315.28,158.1,6.42,8.95,32,4.82
m190154,EHS,hit2rec3,hr3,5.621,1.962,1.68,76138.568,887.61,8.51,9.38,4.06,18.86,223.37,339.1,59.17,22.82,157.96,7.11
m190165,EHS,hit2rec3,hr3,10.46,1.356,1.183,120097.457,411.09,10.32,5.61,4.06,16.49,239.2,539.03,37.33,8.95,102.18,4.82
m190188,EHS,hit2rec3,hr3,5.953,1.343,1.428,150689.591,856.24,8.51,5.44,10.81,21.32,281.54,166.89,6.42,8.95,87.56,4.82
m190189,EHS,hit2rec3,hr3,16.243,1.88,1.291,341486.12,3107,47.67,168.17,73.87,21.32,396.21,505.42,6.42,13.45,32,4.82
m190206,EHS,hit2rec3,hr3,41.39,1.263,1.92,230118.969,1241,13.14,14.51,81.7,21.32,280.55,385.8,5.78,28.39,115.18,4.82
m190244,EHS,hit2rec3,hr3,9.19,1.625,1.81,245181.108,831.44,17.67,5.61,4.06,18.86,208.8,218.92,5.78,18.53,167.15,11.17
m200039,EHS,hit2rec3,hr3,19.624,1.579,3.933,129839.314,995.38,18,17.86,17.84,16.49,254.96,515.43,37.33,8.95,87.56,4.82
m200048,EHS,hit2rec3,hr3,81.971,2.336,3.288,307733.355,1757,24.63,49.5,151.92,26.43,475.6,274.08,48.88,65.86,175.93,4.82
m190046,EHS,hit2rec3,d1,6.946,1.428,2.276,15989.55539,200.72,10.94,7.07,4.06,31.76,85.34,101.89,23.88,56.46,138,7.11
m190056,EHS,hit2rec3,d1,5.654,0.551,1.606,8093.932614,167.35,16.69,6.09,4.06,12,131.19,35.86,5.78,8.95,48.74,5.02
m190057,EHS,hit2rec3,d1,.,1.519,1.379,8001.889658,63.96,5.67,5.44,4.06,22.57,79.28,87.81,6.42,8.95,70.48,4.82
m190164,EHS,hit2rec3,d1,7.432,0.777,1.537,25408.77841,290.21,23.97,56.09,4.06,17.66,130.9,64.35,5.78,8.95,32,12.49
m190176,EHS,hit2rec3,d1,6.836,1.312,1.329,21138.57818,252.09,28.96,25.27,4.06,18.86,128.5,164.98,59.17,10.37,32,4.82
m190203,EHS,hit2rec3,d1,6.805,0.883,1.633,10473.08592,242.02,23.3,10.17,4.06,9.92,93,97.89,15.98,8.95,48.74,4.82
m190219,EHS,hit2rec3,d1,5.594,0.813,1.76,18883.29599,98.15,7.34,8.08,4.06,23.84,105.67,19.18,48.88,18.53,48.74,4.82
m190231,EHS,hit2rec3,d1,5.502,1.018,1.987,22749.99035,669.77,38.56,9.38,4.06,21.32,135.06,142.7,37.33,37.81,48.74,7.79
m190243,EHS,hit2rec3,d1,8.554,0.967,2.107,.,326.22,62.19,15.34,4.06,21.32,106.83,87.81,5.78,8.95,32,4.82
m200053,EHS,hit2rec3,d7,9.584,1.100582957,0.524,29241.66925,98.15,5.33,5.44,4.06,20.08,137.84,79.26,59.17,30.1,32,4.82
m200054,EHS,hit2rec3,d7,15.94,1.172806976,0.48,12571.10242,180.69,11.56,11.23,4.06,42.93,204.78,106.27,5.78,8.95,32,4.82
m200055,EHS,hit2rec3,d7,8.804,1.092031802,0.483,27463.68869,282.91,14.1,5.44,4.06,18.86,114.96,35.86,5.78,16.12,48.74,4.82
m200056,EHS,hit2rec3,d7,11.396,1.120707296,0.377,12065.78452,97.6,73.77,5.44,4.06,21.32,147.27,17.23,6.42,8.95,32,4.82
m200057,EHS,hit2rec3,d7,8.778,1.091747911,0.348,8816.145188,113.06,53.42,15.62,4.06,29.07,147.93,125.99,115.91,8.95,167.15,4.82
m200058,EHS,hit2rec3,d7,9.683,1.101673073,0.39,7729.357342,239.22,49.91,6.09,4.06,22.57,104.22,84.16,48.88,22.82,383.09,22.42
m190143,EHS,hit2rec7,min30,29.784,1.796,0.721,471732.863,1337,25.78,97.36,149.7,39.59,229.41,1904,19.32,170.01,239.54,8.1
m190155,EHS,hit2rec7,min30,96.383,8.54,0.431,393507.168,835.34,3.12,150.77,66.7,39.59,422.79,460.79,19.32,236.64,138.8,14.96
m190168,EHS,hit2rec7,min30,66.599,2.542,0.436,492955.89,710.12,25.78,124.63,35.08,29.28,284.61,859.08,24.14,141.26,192.16,1.58
m190180,EHS,hit2rec7,min30,84.915,1.731,0.451,356502.352,1153,4.39,78.16,33.11,22.76,283.72,1419,5.24,150.18,76.71,2.44
m190191,EHS,hit2rec7,min30,100.316,8.532,0.349,612911.475,524.21,8.28,29.84,25.49,36.1,409.17,1268,24.14,176.21,115.25,4.73
m190192,EHS,hit2rec7,min30,66.716,1.823,0.352,384345.872,839.76,8.28,43.27,11.94,29.28,205.38,711.87,5.24,131.84,90.05,1.53
m200003,EHS,hit2rec7,min30,43.443,2.614,0.523,499793.681,.,.,.,.,.,.,.,.,.,.,.
m200029,EHS,hit2rec7,min30,270.104,1.661,0.577,297870.423,462.34,8.51,83.56,39.53,26.43,265.95,1249,6.42,142.09,235.91,11.17
m200051,EHS,hit2rec7,min30,222.097,2.71,0.688,474751.599,656.4,5.33,52.37,20.11,14.19,265.34,220.04,5.78,162.71,115.18,4.82
m190009,EHS,hit2rec7,hr3,16.207,1.777,1.687,262733.305,2146,21.86,21.59,194.72,25.98,354.09,275.04,39.28,9.5,115.25,7.13
m190167,EHS,hit2rec7,hr3,.,0.957,0.412,522262.764,1239,9.2,43.6,64.5,32.66,404.13,1925,39.28,9.5,150.06,4.26
m190178,EHS,hit2rec7,hr3,71.465,1.924,1.286,338385.316,2467,25.78,21.59,47.32,32.66,434.7,624.19,19.32,9.5,378.82,24.08
m190179,EHS,hit2rec7,hr3,86.075,1.431,1.16,306806.04,2004,25.78,37.94,22.76,25.98,484.1,734.03,29.11,9.5,32.55,3.8
m190190,EHS,hit2rec7,hr3,20.604,1.049,1.075,156230.899,1321,40.71,56.12,11.94,21.19,306.7,560.66,19.32,9.5,5.09,1.53
m190222,EHS,hit2rec7,hr3,8.855,1.348,1.641,268565.451,1254,11.88,15.97,20.11,29.28,499.05,812.44,29.11,31.21,90.05,1.53
m190234,EHS,hit2rec7,hr3,54.701,1.366,0.859,251210.301,955.39,22.65,4.13,11.94,29.28,457.7,298.59,5.24,9.5,5.09,9.08
m200028,EHS,hit2rec7,hr3,68.783,1.598,1.118,320610.693,868.66,5.33,5.44,4.06,14.19,189.48,263.04,5.78,8.95,32,4.82
m200042,EHS,hit2rec7,hr3,18.557,1.436,1.941,82144.688,1434,8.51,6.58,55.95,16.49,297.06,346.72,5.78,8.95,175.93,7.79
m190001,EHS,hit2rec7,d1,7.056,0.782,1.388,22908.88258,159.23,4.39,4.92,4.76,25.98,148.63,37.81,10.32,9.5,32.55,6.64
m190007,EHS,hit2rec7,d1,.,.,1.32,.,.,.,.,.,.,.,.,.,.,.,.
m190050,EHS,hit2rec7,d1,13.235,3.542,2.962,21818.29245,213.43,4.39,6.46,4.76,32.66,249.72,178.06,49.63,9.5,90.05,1.53
m190060,EHS,hit2rec7,d1,6.815,1.378,1.314,6614.126371,169.79,9.2,2.47,4.76,21.19,156.21,57.01,6.34,9.5,5.09,7.13
m190144,EHS,hit2rec7,d1,6.873,.,1.989,10181.83979,306.15,35.97,19.5,4.76,16.63,200.75,61.01,5.24,9.5,5.09,1.53
m190156,EHS,hit2rec7,d1,6.066,1.994,6.268,1165.877149,346.36,15.32,14.55,9.05,41.36,157.54,73.46,110.12,9.5,90.05,6.16
m200015,EHS,hit2rec7,d1,.,1.092,1.802,33803.51263,120.8,7.92,5.44,4.06,26.43,44.2,64.77,48.88,18.53,175.93,8.48
m200041,EHS,hit2rec7,d1,10.434,.,5.259,8446.141594,320.59,53.42,6.09,288.85,57.58,110.03,127.16,168.47,122.62,737.42,432.53
m200050,EHS,hit2rec7,d1,9.399,.,1.168,16578.91523,90.97,6.77,12.86,4.06,23.84,131.19,68.94,5.78,8.95,87.56,4.82
m200004,EHS,hit2rec7,d7,11.822,1.125491692,0.48,4277.089355,.,.,.,.,.,.,.,.,.,.,.
m200005,EHS,hit2rec7,d7,7.422,1.077043729,0.709,4175.197744,.,.,.,.,.,.,.,.,.,.,.
m200006,EHS,hit2rec7,d7,8.933,1.093441432,0.377,17197.78714,.,.,.,.,.,.,.,.,.,.,.
m200016,EHS,hit2rec7,d7,12.615,1.134452323,0.566,15976.11383,109.75,5.33,5.44,4.06,18.86,80.07,38.09,6.42,20.75,48.74,4.82
m200017,EHS,hit2rec7,d7,18.797,.,0.609,8430.193462,99.8,5.33,5.44,4.06,9.92,88.81,65.6,23.88,8.95,32,4.82
m200018,EHS,hit2rec7,d7,9,.,0.533,12449.77712,157.36,16.04,5.44,4.06,8.84,68.11,34.06,5.78,8.95,32,4.82
m200030,EHS,hit2rec7,d7,10.401,1.109611551,0.537,5081.958511,145.72,5.33,5.44,4.06,9.92,141.35,42.95,37.33,22.82,32,8.48
m190067,EXC,hit1,min30,5.183,1.166,0.092,16657.474,304.66,23.44,10.93,5.23,32.66,153.94,182.85,10.32,9.5,5.09,1.53
m190080,EXC,hit1,min30,7.067,1.228,0.004,116733.177,207.42,3.12,4.92,4.76,30.96,80.15,102.04,10.32,9.5,32.55,3.8
m190099,EXC,hit1,min30,.,1.427,0.283,56251.911,18.34,20.26,2.47,5.81,36.1,82.47,66,49.63,9.5,5.09,9.08
m190112,EXC,hit1,min30,9.065,1.622,0.216,42396.912,57.2,3.34,2.47,4.76,22.76,137.3,66.5,5.24,9.5,5.09,4.26
m190131,EXC,hit1,min30,6.177,1.98,0.371,75311.971,141.09,12.76,8.34,7.7,29.28,80.8,149.19,189.1,27.84,221.2,19.81
m190169,EXC,hit1,min30,8.19,.,0.049,44704.468,107.7,5.4,2.47,4.76,25.98,154.7,72.97,19.32,9.5,5.09,1.53
m190236,EXC,hit1,min30,.,0.92,0.281,45857.856,189.38,14.47,11.66,4.76,39.59,120.01,196.25,80.5,9.5,5.09,5.2
m190068,EXC,hit1,hr3,10.033,.,0.098,2307.862,220.93,12.76,2.52,6.42,32.66,127.52,50.98,49.63,9.5,62.77,18.84
m190081,EXC,hit1,hr3,6.006,1.806,0,11563.096,406.51,44.3,7.22,6.42,36.1,109.89,48.96,10.32,9.5,5.09,22.19
m190100,EXC,hit1,hr3,7.095,1.601,0.336,7869.163,426.53,20.26,2.47,4.76,39.59,89.92,79.9,100.42,9.5,115.25,2.44
m190113,EXC,hit1,hr3,6.916,1.333,0.23,2395.288,338.92,11.88,5.69,6.42,25.98,121.79,56.01,75.42,9.5,62.77,3.34
m190132,EXC,hit1,hr3,6.282,.,0.341,13233.484,190.88,3.12,2.47,6.42,22.76,109.33,71.48,19.32,9.5,5.09,7.13
m190145,EXC,hit1,hr3,8.852,0.854,0.335,7380.768,117.59,21.06,9.46,9.75,61.44,103.26,133.71,147.02,14.5,90.05,14.96
m190157,EXC,hit1,hr3,5.59,1.305,0.098,47455.049,232.92,3.12,2.47,4.76,29.28,129.59,162.68,80.5,9.5,5.09,1.53
m190012,EXC,hit1,d1,5.586,0.93,0.429,8682.331,195.39,4.39,4.13,10.47,76.55,142.97,73.46,29.11,14.5,62.77,8.1
m190094,EXC,hit1,d1,12.034,1.15,0.307,.,.,.,.,.,.,.,.,.,.,.,.
m190101,EXC,hit1,d1,9.286,1.677,0.189,7504.616,164.51,11,2.47,4.76,29.28,96.26,53.49,5.24,9.5,5.09,1.58
m190114,EXC,hit1,d1,9.033,1.302,0.258,.,.,.,.,.,.,.,.,.,.,.,.
m190146,EXC,hit1,d1,.,1.326,0.345,37768.575,122.9,15.32,5.69,7.7,36.1,108.96,32.69,70.3,9.5,32.55,12.02
m190158,EXC,hit1,d1,10.061,1.507,0.322,7557.389,127.45,7.34,10.93,4.76,32.66,109.71,88.29,49.63,9.5,5.09,1.53
m190211,EXC,hit1,d1,.,0.917,0.299,22594.913,166.78,8.28,2.47,4.76,32.66,168.28,84.35,100.42,34.29,48.12,13.98
m190223,EXC,hit1,d1,6.431,1.068,0,5133.499,163.76,14.9,2.47,4.76,22.76,119.63,34.75,5.24,9.5,5.09,1.53
m190235,EXC,hit1,d1,5.76,0.98,0.232,30860.833,147.14,29.62,9.46,4.76,19.64,124.7,42.89,19.32,9.5,5.09,1.53
m190069,EXC,hit1,d7,6.377,.,0.064,.,211.87,11.56,5.44,4.06,16.49,208.8,137.67,6.42,54.23,32,4.82
m190082,EXC,hit1,d7,6.354,.,0.019,.,276.18,14.74,5.44,4.06,27.74,117.8,58.03,48.88,8.95,48.74,12.49
m190095,EXC,hit1,d7,9.018,.,0.253,.,258.81,32.62,7.57,4.06,29.07,116.71,57.6,37.33,36.35,32,4.82
m190133,EXC,hit1,d7,12.706,.,0.34,.,855.64,153.48,8.08,4.06,34.49,125.07,56.75,43.29,41.97,138,4.82
m190205,EXC,hit1,d7,5.176,.,0,.,157.36,11.56,5.44,4.06,26.43,125,49.91,48.88,41.97,32,4.82
m200007,EXC,hit1,d7,7.164,.,0.524,.,.,.,.,.,.,.,.,.,.,.,.
m200019,EXC,hit1,d7,7.176,.,0.597,.,.,.,.,.,.,.,.,.,.,.,.
m190035,EXC,hit2rec1,min30,.,.,.,48193.798,.,.,.,.,.,.,.,.,.,.,.
m190036,EXC,hit2rec1,min30,.,.,.,43043.2,.,.,.,.,.,.,.,.,.,.,.
m190039,EXC,hit2rec1,min30,.,.,.,48356.708,.,.,.,.,.,.,.,.,.,.,.
m190040,EXC,hit2rec1,min30,.,.,.,19854.269,.,.,.,.,.,.,.,.,.,.,.
m190096,EXC,hit2rec1,min30,.,.,.,18463.642,.,.,.,.,.,.,.,.,.,.,.
m190134,EXC,hit2rec1,min30,.,.,.,45867.227,.,.,.,.,.,.,.,.,.,.,.
m190135,EXC,hit2rec1,min30,.,.,.,34252.007,.,.,.,.,.,.,.,.,.,.,.
m200020,EXC,hit2rec1,min30,.,.,.,20922.383,.,.,.,.,.,.,.,.,.,.,.
m190071,EXC,hit2rec1,hr3,.,.,.,56923.708,.,.,.,.,.,.,.,.,.,.,.
m190084,EXC,hit2rec1,hr3,.,.,.,46340.937,.,.,.,.,.,.,.,.,.,.,.
m190091,EXC,hit2rec1,hr3,.,.,.,10179.756,.,.,.,.,.,.,.,.,.,.,.
m190102,EXC,hit2rec1,hr3,.,.,.,20897.081,.,.,.,.,.,.,.,.,.,.,.
m190115,EXC,hit2rec1,hr3,.,.,.,31455.945,.,.,.,.,.,.,.,.,.,.,.
m190136,EXC,hit2rec1,hr3,.,.,.,58053.232,.,.,.,.,.,.,.,.,.,.,.
m200008,EXC,hit2rec1,hr3,.,.,.,2725.502,.,.,.,.,.,.,.,.,.,.,.
m190018,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190028,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190070,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190083,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190103,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190116,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200031,EXC,hit2rec1,d1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
