EHI0,EHI1,EHI3,EHI7
1029.58,1525.1,1682.95,2510.73
1370.22,2033.11,1981.63,1238.47
1122.23,1155.8,1280.55,1200
1200.67,1764.65,1776.02,1124.8
1781.37,2114.39,2335.04,1745.58
1132.11,1839.87,2025.78,1848.86
942.03,1753.65,1656.19,1484.93
1857.42,2828.6,2567.45,1470.51
1818.84,1940.68,1981.56,1542.6
1501.67,2205.37,2383.76,2078.97
1133.48,1673.81,2099.01,1277.42
1369.64,2470.93,3156.53,1381.06
1702.19,2170.76,1978.3,1560.13
1969.52,2941.19,1947.17,2701.12
1075.99,1883.26,1542.25,2514.67
1708.52,2083.69,2028.45,1997.81
412.87,698.42,1653.39,2168.56
1372.84,1879.94,1333.28,2234.75
984.58,1504.84,1446.85,2143.07
1211.16,1423.07,1250.63,1488.04
2000.71,2975.31,1457.56,1856.8
1245.28,1670.68,1505.09,1987.71
2308.98,2678.67,1499.82,2124.76
1344.33,1463.35,1314.49,2287.49
1042.76,1507.2,1817.38,1423.23
1946.17,2066.99,931.21,2471.19
1385.98,1401.39,1752.64,1594.32
1042.08,1430.55,1746.46,1803.53
1455.72,1870.87,1743.13,2503.01
1910.97,2226.5,2161.02,2285.83
1249.48,1971.74,1314.23,2013.62
2141.22,3098.38,2024.03,1536.88
956.57,1896.96,1309.44,1340.73
1202.96,2110.64,,1854.66
1633.85,2387.72,,1591.01
1669.73,2613.94,,1365.22
1556.22,1982.49,,
1130.08,1608.21,,
1888.43,2709.35,,
1625.48,2399.46,,
,,,
1577.27,,,
1920.34,,,
1065.91,,,
1248.31,,,
1177.72,,,
1409,,,
1340.69,,,
1609.38,,,
1333.48,,,
1796.26,,,
2067.84,,,
1572.52,,,
1605.35,,,
1831.98,,,
1251.06,,,
1008.28,,,
1284.27,,,
1112.48,,,
1425.47,,,
867.2,,,
1345.99,,,
1191.15,,,
1360.39,,,
934.69,,,
1669.66,,,
969.75,,,
1287.99,,,
1865.8,,,
1641.88,,,
2056.11,,,
1092.25,,,
1360.65,,,
971.82,,,
,,,
1443.61,,,
1022.51,,,
937.01,,,
1163.06,,,
1066.03,,,
1576.44,,,
893.76,,,
1325.4,,,
1714.19,,,
2058.55,,,
1177.15,,,
925.9,,,
1542.18,,,
2141.29,,,
1658.12,,,
1434.22,,,
1675.71,,,
1377.37,,,
1465.86,,,
1242.89,,,
1216.91,,,
1709.77,,,
1456.45,,,
1711.64,,,
1224.48,,,
1836.64,,,
1266.4,,,
1298.81,,,
1855.22,,,
2007.07,,,
1502.15,,,
1843.34,,,
1247.24,,,
1444.82,,,
1269.22,,,
1347.31,,,
,,,
1212.16,,,
899.61,,,
1508,,,
1565.75,,,
1093.93,,,
1302.81,,,
1839.16,,,
1331.76,,,
1274.57,,,
1446.28,,,
1233.1,,,
1540.47,,,
1253.97,,,
1249.69,,,
1187.02,,,
1363.05,,,
802.82,,,
1451.32,,,
1139.04,,,
1005.43,,,
1468.01,,,
937.73,,,
1493.87,,,
1018.35,,,
1303.99,,,
1323.32,,,
1038.5,,,
1106.29,,,
1789.8,,,
910.82,,,
1299.12,,,
1753.96,,,
1164.46,,,
2044.46,,,
1379.54,,,
1316.88,,,
1593.37,,,
1313.3,,,
1345.56,,,
