EHI0,EHI1,EHI3,EHI7
42.01,42.51,42.55,41.97
41.95,42.67,42.28,41.93
42.37,42.59,42.19,42.09
41.92,42.6,42.58,42.18
42.26,42.51,42.4,42.29
42.21,42.56,42.14,42.24
42.61,42.53,42.3,42.21
42.38,42.29,42.51,42.57
41.93,42.46,42.38,42.24
42.37,42.31,42.62,42.12
41.99,42.59,42.68,42.07
41.96,42.46,42.32,42.11
42.2,42.2,42.05,42.06
41.67,42.71,42.35,42.06
42.05,42.46,42.55,42.2
42.28,42.7,42.36,42.21
42.69,42.24,42.19,42.35
42.29,42.28,42.47,42.33
42.47,42.67,42.09,41.97
42.14,42.27,42.32,42.31
41.99,42.7,42.6,42.02
41.81,42.61,42.43,42.08
42.26,42.4,42.41,42.44
42.45,42.6,42.37,42.46
42.35,42.28,42.31,42.39
42.2,42.46,42.65,41.89
41.71,42.46,42.59,42.2
42.53,42.36,42.5,42.41
42.18,42.33,42.35,42.46
42.12,42.27,42.23,41.96
41.88,42.79,42.4,42.08
42.06,42.19,42.07,42.21
42.11,42.24,42.4,42.23
42.29,42.63,,42.27
42.46,42.73,,
42.16,42.56,,
,,,
42.05,,,
42.17,,,
41.77,,,
42.29,,,
41.81,,,
42.08,,,
41.88,,,
42.38,,,
42.5,,,
42.05,,,
42.44,,,
41.94,,,
42.28,,,
41.99,,,
41.99,,,
42.05,,,
42.02,,,
41.86,,,
42.36,,,
42.19,,,
42.18,,,
41.96,,,
42.08,,,
41.89,,,
42.19,,,
42.16,,,
42.12,,,
41.83,,,
42.22,,,
42.35,,,
42.29,,,
42.25,,,
42.22,,,
42.56,,,
42.26,,,
42.1,,,
,,,
42.05,,,
42.28,,,
42.4,,,
42.22,,,
41.97,,,
41.87,,,
41.97,,,
42.15,,,
42.13,,,
42.04,,,
42.32,,,
42.38,,,
41.83,,,
42.16,,,
42.06,,,
42.27,,,
42.13,,,
42.28,,,
41.94,,,
42.19,,,
42.36,,,
42.16,,,
42.05,,,
41.98,,,
42.07,,,
42.34,,,
42.29,,,
42.64,,,
42.18,,,
42.53,,,
42.05,,,
41.92,,,
42.65,,,
,,,
42.01,,,
42.08,,,
42.02,,,
42,,,
42.18,,,
42.07,,,
42.25,,,
42.25,,,
42.17,,,
42.26,,,
42.07,,,
42.5,,,
42.15,,,
42.03,,,
42.05,,,
42.39,,,
42.32,,,
42.4,,,
41.96,,,
42.21,,,
42,,,
42.22,,,
42.46,,,
42.19,,,
42.01,,,
42.05,,,
42.5,,,
42.29,,,
42.31,,,
42.07,,,
42.34,,,
42.25,,,
42.17,,,
42.3,,,
