yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
1400,1420,*,min-30,EHI,0.75,1.25,1
1400,1420,*,min-30,EHI,1.75,2.25,2
1400,1420,*,min-30,EHI,2.75,3.25,3
1400,1420,*,min-30,EHI,3.75,4.25,4
1400,1420,*b,hr-3,EHI,0.75,1.25,1
1400,1420,*acd,hr-3,EHI,1.75,2.25,2
1400,1420,*b,hr-3,EHI,2.75,3.25,3
1400,1420,*b,hr-3,EHI,3.75,4.25,4
