"","Animal","Type","Recovery","SacTime","FABP2","HSP70PL","HSP70LIV","Cort","GCSF","IL5","IL6","IL10","IL13","IP10","KC","MIP1a","MIP1b","MIP2","RANTES"
"15","m190139","EHS","hit1","hr3",14.838,2.768,2.265,167851.678,2526,6.39,27.8,10.47,39.59,505.6,1508,19.32,34.29,90.05,3.34
"16","m190151","EHS","hit1","hr3",NA,1.933,2.088,240133.777,6170,11,43.94,45.23,46.73,495.89,1357,39.28,51.55,239.54,19.81
"17","m200035","EHS","hit1","hr3",53.734,1.369,1.892,248399.646,1618,7.34,24.7,175.99,31.76,480.25,1298,48.88,56.46,87.56,15.07
"18","m200045","EHS","hit1","hr3",41.248,0.981,2.029,369616.418,4031,89.63,89.15,39.53,23.84,525.42,2760,23.88,54.23,295.91,4.82
"19","m190004","EHS","hit1","d1",6.429,1.083,3.588,12206.915,487.24,34.12,16.68,9.05,36.1,173.33,94.19,49.63,9.5,62.77,5.2
"20","m190010","EHS","hit1","d1",7.26,1.627,3.035,5955.2,225.43,11.88,8.72,4.76,39.59,146.37,154.98,128.94,39.86,90.05,4.26
"21","m190088","EHS","hit1","d1",NA,1.168,1.419,NA,186.25,34.28,29.88,10.81,37.27,176.91,65.19,140.83,39.23,175.93,4.82
"22","m190120","EHS","hit1","d1",11.768,1.849,3.932,30623.603,204.41,14.47,6.46,4.76,29.28,300.22,199.11,29.11,39.86,5.09,1.58
"23","m190140","EHS","hit1","d1",6.48,1.405,1.528,8155.221,156.97,19.45,16.68,4.76,29.28,155.64,84.84,100.42,9.5,32.55,9.08
"24","m190152","EHS","hit1","d1",7.309,1.294,4.443,18924.763,408.74,13.62,4.92,4.76,30.96,156.02,170.38,59.99,9.5,5.09,1.53
"25","m190217","EHS","hit1","d1",6.412,1.267,1.86,8915.327,144.87,9.2,17.39,4.76,30.96,194.4,154.01,24.14,9.5,5.09,4.26
"26","m190229","EHS","hit1","d1",7.785,1.798,1.443,6152.702,422.08,16.16,24.37,4.76,22.76,104.57,159.8,6.34,9.5,5.09,1.53
"27","m190241","EHS","hit1","d1",6.746,0.997,4.088,11116.436,205.91,24.23,35.25,4.76,29.28,224.25,136.13,39.28,9.5,5.09,9.57
"28","m190063","EHS","hit1","d7",9.957,1.341,0.293,NA,166.24,21.97,20.69,17.84,60.58,145.88,82.12,99.76,66.86,563.59,69.46
"29","m190076","EHS","hit1","d7",6.221,0.934,0.176,NA,292.46,15.39,13.41,4.06,16.49,180.6,124.03,37.33,48.36,32,4.82
"30","m190089","EHS","hit1","d7",NA,NA,0.099,NA,216.33,5.33,11.77,4.06,16.49,141.93,81.71,6.42,36.35,87.56,4.82
"31","m190127","EHS","hit1","d7",NA,1.533,0.41,NA,180.13,39.55,5.44,4.06,37.27,126.46,80.08,30.91,49.57,32,4.82
"32","m190199","EHS","hit1","d7",12.526,0.798,0.388,NA,102.01,5.33,5.44,4.06,22.57,124.27,16.25,23.88,8.95,32,6.41
"33","m190204","EHS","hit1","d7",7.161,0.206,0.228,NA,161.8,18,10.96,4.06,20.08,99.73,29.97,5.78,26.62,32,4.82
"34","m200001","EHS","hit1","d7",9.611,0.844,0.313,NA,421.89,7.05,5.44,4.06,8.84,100.1,220.78,5.78,8.95,NA,18.2
"35","m200013","EHS","hit1","d7",8.587,NA,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","m200036","EHS","hit1","d7",10.726,NA,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","m190033","EHS","hit2rec1","min30",NA,3.012,2.888,347032.879,783.78,28.1,100.86,17.54,30.96,137.87,560.2,14.69,9.5,32.55,5.2
"38","m190034","EHS","hit2rec1","min30",NA,51.144,2.068,426203.067,1743,237.11,448.99,53.67,57.71,343.67,2117,49.63,113.3,306.39,22.67
"39","m190037","EHS","hit2rec1","min30",92.042,16.032,2.633,283547.572,2055,51.01,233.74,29.25,29.28,239.44,1845,10.32,74.78,5.09,6.16
"40","m190038","EHS","hit2rec1","min30",29.11,4.656,3.201,223999.061,817.66,16.16,122.41,21.87,34.37,210.11,1183,19.32,77.83,5.09,5.2
"41","m190090","EHS","hit2rec1","min30",25.537,4.004,2.297,341947.819,1017,18.22,41.94,4.76,29.28,249.72,858.19,5.24,19.79,5.09,1.53
"42","m190128","EHS","hit2rec1","min30",38.042,3.542,2.32,723891.545,335.19,18.63,113.24,6.42,22.76,259.73,1262,14.69,9.5,32.55,1.53
"43","m190129","EHS","hit2rec1","min30",21.958,2.534,4.099,267402.055,574.43,142.1,126.2,6.42,19.64,229.99,1448,5.24,9.5,5.09,1.53
"44","m200014","EHS","hit2rec1","min30",15.551,5.289,2.12,254290.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","m200026","EHS","hit2rec1","min30",132.595,5.503,6.626,449133.244,314.95,5.33,12.59,10.81,9.92,149.98,91.46,5.78,62.83,32,4.82
"46","m190065","EHS","hit2rec1","hr3",6.395,3.189,2.223,18291.65,1849,19.45,25.74,4.76,30.96,192.86,309.4,10.32,9.5,32.55,3.8
"47","m190078","EHS","hit2rec1","hr3",6.183,2.741,3.535,57231.664,1245,6.39,17.39,11.94,25.98,217.56,943.44,19.32,9.5,62.77,9.08
"48","m190097","EHS","hit2rec1","hr3",6.725,4.189,6.132,55517.589,387.96,8.28,19.5,4.76,24.36,252.46,544.61,5.24,9.5,32.55,1.53
"49","m190108","EHS","hit2rec1","hr3",6.863,10.118,8.733,37028.225,182.6,31.51,9.46,4.76,25.98,225.81,184.76,5.24,9.5,5.09,1.53
"50","m190121","EHS","hit2rec1","hr3",4.702,3.031,6.034,25997.235,1281,3.12,5.69,4.76,29.28,233.3,540.48,49.63,9.5,32.55,1.53
"51","m190130","EHS","hit2rec1","hr3",5.698,2.58,5.411,24678.791,589.93,128.54,14.19,4.76,19.64,200.17,458.48,5.24,9.5,5.09,1.53
"52","m200002","EHS","hit2rec1","hr3",4.816,1.499,2.761,33267.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","m200027","EHS","hit2rec1","hr3",14.811,10.41,5.462,43010.496,747.39,5.33,5.44,4.06,14.19,147.64,355.42,5.78,13.45,32,4.82
"54","m200038","EHS","hit2rec1","hr3",12.684,2.107,2.647,80081.394,698.89,23.97,5.44,4.06,13.08,197.86,396.27,5.78,8.95,32,4.82
"55","m190013","EHS","hit2rec1","d1",7.551,1.148,3.249,14110.526,372.37,7.34,13.11,6.42,43.14,176.01,152.09,39.28,9.5,5.09,9.08
"56","m190064","EHS","hit2rec1","d1",6.893,1.279,3.257,10135.475,297.2,18.63,11.66,15.88,54.02,124.32,162.68,59.99,55.65,115.25,11.04
"57","m190077","EHS","hit2rec1","d1",7.349,NA,1.654,6471.613,222.43,4.39,2.93,4.76,27.62,157.16,94.69,6.34,9.5,5.09,1.53
"58","m190107","EHS","hit2rec1","d1",7.713,1.585,4.052,22909.097,275.56,8.28,6.08,4.76,29.28,132.69,160.76,5.24,9.5,5.09,1.53
"59","m190109","EHS","hit2rec1","d1",5.847,NA,3.028,8864.705,242.66,16.99,39.28,4.76,32.66,134.38,87.8,5.24,9.5,5.09,2.44
"60","m190122","EHS","hit2rec1","d1",12.812,1.664,5.074,15732.479,521.99,37.08,139.44,4.76,39.59,119.07,622.82,5.24,9.5,32.55,4.26
"61","m200037","EHS","hit2rec1","d1",NA,1.089,1.778,NA,139.62,6.77,5.44,4.06,16.49,101.18,47.31,5.78,8.95,32,4.82
"62","m200043","EHS","hit2rec1","d1",11.358,1.207,2.79,NA,165.13,5.33,5.44,4.06,30.41,100.53,53.34,77.15,34.86,138,11.17
"63","m200046","EHS","hit2rec1","d1",12.802,0.206,6.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","m190014","EHS","hit2rec1","d7",5.453,0.889,0.246,NA,107.53,11.87,8.08,4.06,26.43,134.62,87.41,6.42,36.35,32,4.82
"65","m190024","EHS","hit2rec1","d7",8.61,0.76,0.214,NA,192.93,29.96,29.3,4.06,31.76,245.53,89.03,77.15,26.62,32,7.79
"66","m190066","EHS","hit2rec1","d7",NA,0.865,0.261,NA,725.16,30.63,17.02,4.06,26.43,116.34,174.12,43.29,51.93,87.56,13.79
"67","m190079","EHS","hit2rec1","d7",NA,1.14,0.193,NA,144.05,5.33,10.17,4.06,29.07,183.33,151.19,68.53,22.82,87.56,15.07
"68","m190110","EHS","hit2rec1","d7",NA,1.301,0.401,NA,124.67,23.97,5.44,4.06,37.27,146.32,73.5,63.95,56.46,48.74,17.58
"69","m190123","EHS","hit2rec1","d7",7.499,1.357,0.277,NA,98.15,5.94,11.23,4.06,29.07,138.86,84.16,43.29,41.97,32,12.49
"70","m190218","EHS","hit2rec1","d7",13.231,0.927,0.053,NA,166.8,35.93,28.15,4.06,26.43,143.61,60.14,23.88,30.1,87.56,5.02
"71","m190230","EHS","hit2rec1","d7",8.987,NA,0.36,NA,134.08,10.32,5.44,4.06,16.49,112.57,23.94,48.88,16.12,32,4.82
"72","m200047","EHS","hit2rec1","d7",4.016,NA,0.785,NA,70.02,11.56,5.44,4.06,16.49,127.91,88.22,5.78,8.95,157.96,4.82
"73","m190141","EHS","hit2rec3","min30",52.954,2.158,0.51,660690.399,239.78,32.95,146.68,4.06,21.32,287.88,647.53,30.91,86.65,207.81,4.82
"74","m190153","EHS","hit2rec3","min30",55.134,3.664,1.598,377579.879,174.02,15.07,92.21,4.06,16.49,261.17,540.46,6.42,22.82,138,4.82
"75","m190166","EHS","hit2rec3","min30",158.335,1.961,0.844,526217.191,344.27,25.3,43.17,4.06,17.66,207.61,514.72,92.68,45.87,222.25,7.11
"76","m190177","EHS","hit2rec3","min30",234.681,2.364,0.975,505807.829,4177,29.3,133.69,39.53,116.79,196.15,1010,5.78,93.93,138,5.02
"77","m190201","EHS","hit2rec3","min30",48.017,1.439,0.859,520159.916,375.36,11.56,28.73,8.36,9.92,293.38,377.49,5.78,84.99,138,4.82
"78","m190202","EHS","hit2rec3","min30",110.474,2.24,1.144,423054.595,1179,12.5,43.17,4.06,26.43,276.44,891,48.88,173.45,115.18,13.79
"79","m200040","EHS","hit2rec3","min30",132.346,1.344,1.841,265166.733,27.07,5.33,8.08,4.06,14.19,213.57,1012,5.78,104.56,157.96,5.02
"80","m200049","EHS","hit2rec3","min30",70.248,1.904,2.279,232586.488,1648,141.42,540.99,71.9,37.27,239.5,3189,37.33,220.89,327.24,13.14
"81","m200052","EHS","hit2rec3","min30",261.39,3.306,1.455,273290.28,99.25,18.66,54.66,17.84,21.32,253.23,526.16,59.17,120.63,48.74,6.41
"82","m190142","EHS","hit2rec3","hr3",32.1,1.562,1.646,391224.715,855.05,10.01,8.34,4.06,21.32,315.28,158.1,6.42,8.95,32,4.82
"83","m190154","EHS","hit2rec3","hr3",5.621,1.962,1.68,76138.568,887.61,8.51,9.38,4.06,18.86,223.37,339.1,59.17,22.82,157.96,7.11
"84","m190165","EHS","hit2rec3","hr3",10.46,1.356,1.183,120097.457,411.09,10.32,5.61,4.06,16.49,239.2,539.03,37.33,8.95,102.18,4.82
"85","m190188","EHS","hit2rec3","hr3",5.953,1.343,1.428,150689.591,856.24,8.51,5.44,10.81,21.32,281.54,166.89,6.42,8.95,87.56,4.82
"86","m190189","EHS","hit2rec3","hr3",16.243,1.88,1.291,341486.12,3107,47.67,168.17,73.87,21.32,396.21,505.42,6.42,13.45,32,4.82
"87","m190206","EHS","hit2rec3","hr3",41.39,1.263,1.92,230118.969,1241,13.14,14.51,81.7,21.32,280.55,385.8,5.78,28.39,115.18,4.82
"88","m190244","EHS","hit2rec3","hr3",9.19,1.625,1.81,245181.108,831.44,17.67,5.61,4.06,18.86,208.8,218.92,5.78,18.53,167.15,11.17
"89","m200039","EHS","hit2rec3","hr3",19.624,1.579,3.933,129839.314,995.38,18,17.86,17.84,16.49,254.96,515.43,37.33,8.95,87.56,4.82
"90","m200048","EHS","hit2rec3","hr3",81.971,2.336,3.288,307733.355,1757,24.63,49.5,151.92,26.43,475.6,274.08,48.88,65.86,175.93,4.82
"91","m190046","EHS","hit2rec3","d1",6.946,1.428,2.276,NA,200.72,10.94,7.07,4.06,31.76,85.34,101.89,23.88,56.46,138,7.11
"92","m190056","EHS","hit2rec3","d1",5.654,0.551,1.606,NA,167.35,16.69,6.09,4.06,12,131.19,35.86,5.78,8.95,48.74,5.02
"93","m190057","EHS","hit2rec3","d1",NA,1.519,1.379,NA,63.96,5.67,5.44,4.06,22.57,79.28,87.81,6.42,8.95,70.48,4.82
"94","m190164","EHS","hit2rec3","d1",7.432,0.777,1.537,NA,290.21,23.97,56.09,4.06,17.66,130.9,64.35,5.78,8.95,32,12.49
"95","m190176","EHS","hit2rec3","d1",6.836,1.312,1.329,NA,252.09,28.96,25.27,4.06,18.86,128.5,164.98,59.17,10.37,32,4.82
"96","m190203","EHS","hit2rec3","d1",6.805,0.883,1.633,NA,242.02,23.3,10.17,4.06,9.92,93,97.89,15.98,8.95,48.74,4.82
"97","m190219","EHS","hit2rec3","d1",5.594,0.813,1.76,NA,98.15,7.34,8.08,4.06,23.84,105.67,19.18,48.88,18.53,48.74,4.82
"98","m190231","EHS","hit2rec3","d1",5.502,1.018,1.987,NA,669.77,38.56,9.38,4.06,21.32,135.06,142.7,37.33,37.81,48.74,7.79
"99","m190243","EHS","hit2rec3","d1",8.554,0.967,2.107,NA,326.22,62.19,15.34,4.06,21.32,106.83,87.81,5.78,8.95,32,4.82
"100","m200053","EHS","hit2rec3","d7",9.584,NA,0.524,NA,98.15,5.33,5.44,4.06,20.08,137.84,79.26,59.17,30.1,32,4.82
"101","m200054","EHS","hit2rec3","d7",15.94,NA,0.48,NA,180.69,11.56,11.23,4.06,42.93,204.78,106.27,5.78,8.95,32,4.82
"102","m200055","EHS","hit2rec3","d7",8.804,NA,0.483,NA,282.91,14.1,5.44,4.06,18.86,114.96,35.86,5.78,16.12,48.74,4.82
"103","m200056","EHS","hit2rec3","d7",11.396,NA,0.377,NA,97.6,73.77,5.44,4.06,21.32,147.27,17.23,6.42,8.95,32,4.82
"104","m200057","EHS","hit2rec3","d7",8.778,NA,0.348,NA,113.06,53.42,15.62,4.06,29.07,147.93,125.99,115.91,8.95,167.15,4.82
"105","m200058","EHS","hit2rec3","d7",9.683,NA,0.39,NA,239.22,49.91,6.09,4.06,22.57,104.22,84.16,48.88,22.82,383.09,22.42
"106","m190143","EHS","hit2rec7","min30",29.784,1.796,0.721,471732.863,1337,25.78,97.36,149.7,39.59,229.41,1904,19.32,170.01,239.54,8.1
"107","m190155","EHS","hit2rec7","min30",96.383,8.54,0.431,393507.168,835.34,3.12,150.77,66.7,39.59,422.79,460.79,19.32,236.64,138.8,14.96
"108","m190168","EHS","hit2rec7","min30",66.599,2.542,0.436,492955.89,710.12,25.78,124.63,35.08,29.28,284.61,859.08,24.14,141.26,192.16,1.58
"109","m190180","EHS","hit2rec7","min30",84.915,1.731,0.451,356502.352,1153,4.39,78.16,33.11,22.76,283.72,1419,5.24,150.18,76.71,2.44
"110","m190191","EHS","hit2rec7","min30",100.316,8.532,0.349,612911.475,524.21,8.28,29.84,25.49,36.1,409.17,1268,24.14,176.21,115.25,4.73
"111","m190192","EHS","hit2rec7","min30",66.716,1.823,0.352,384345.872,839.76,8.28,43.27,11.94,29.28,205.38,711.87,5.24,131.84,90.05,1.53
"112","m200003","EHS","hit2rec7","min30",43.443,2.614,0.523,499793.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","m200029","EHS","hit2rec7","min30",270.104,1.661,0.577,297870.423,462.34,8.51,83.56,39.53,26.43,265.95,1249,6.42,142.09,235.91,11.17
"114","m200051","EHS","hit2rec7","min30",222.097,2.71,0.688,474751.599,656.4,5.33,52.37,20.11,14.19,265.34,220.04,5.78,162.71,115.18,4.82
"115","m190009","EHS","hit2rec7","hr3",16.207,1.777,1.687,262733.305,2146,21.86,21.59,194.72,25.98,354.09,275.04,39.28,9.5,115.25,7.13
"116","m190167","EHS","hit2rec7","hr3",NA,0.957,0.412,522262.764,1239,9.2,43.6,64.5,32.66,404.13,1925,39.28,9.5,150.06,4.26
"117","m190178","EHS","hit2rec7","hr3",71.465,1.924,1.286,338385.316,2467,25.78,21.59,47.32,32.66,434.7,624.19,19.32,9.5,378.82,24.08
"118","m190179","EHS","hit2rec7","hr3",86.075,1.431,1.16,306806.04,2004,25.78,37.94,22.76,25.98,484.1,734.03,29.11,9.5,32.55,3.8
"119","m190190","EHS","hit2rec7","hr3",20.604,1.049,1.075,156230.899,1321,40.71,56.12,11.94,21.19,306.7,560.66,19.32,9.5,5.09,1.53
"120","m190222","EHS","hit2rec7","hr3",8.855,1.348,1.641,268565.451,1254,11.88,15.97,20.11,29.28,499.05,812.44,29.11,31.21,90.05,1.53
"121","m190234","EHS","hit2rec7","hr3",54.701,1.366,0.859,251210.301,955.39,22.65,4.13,11.94,29.28,457.7,298.59,5.24,9.5,5.09,9.08
"122","m200028","EHS","hit2rec7","hr3",68.783,1.598,1.118,320610.693,868.66,5.33,5.44,4.06,14.19,189.48,263.04,5.78,8.95,32,4.82
"123","m200042","EHS","hit2rec7","hr3",18.557,1.436,1.941,82144.688,1434,8.51,6.58,55.95,16.49,297.06,346.72,5.78,8.95,175.93,7.79
"124","m190001","EHS","hit2rec7","d1",7.056,0.782,1.388,22908.964,159.23,4.39,4.92,4.76,25.98,148.63,37.81,10.32,9.5,32.55,6.64
"125","m190007","EHS","hit2rec7","d1",NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","m190050","EHS","hit2rec7","d1",13.235,3.542,2.962,21818.302,213.43,4.39,6.46,4.76,32.66,249.72,178.06,49.63,9.5,90.05,1.53
"127","m190060","EHS","hit2rec7","d1",6.815,1.378,1.314,6614.127,169.79,9.2,2.47,4.76,21.19,156.21,57.01,6.34,9.5,5.09,7.13
"128","m190144","EHS","hit2rec7","d1",6.873,NA,1.989,10181.836,306.15,35.97,19.5,4.76,16.63,200.75,61.01,5.24,9.5,5.09,1.53
"129","m190156","EHS","hit2rec7","d1",6.066,1.994,6.268,1165.877,346.36,15.32,14.55,9.05,41.36,157.54,73.46,110.12,9.5,90.05,6.16
"130","m200015","EHS","hit2rec7","d1",NA,1.092,1.802,NA,120.8,7.92,5.44,4.06,26.43,44.2,64.77,48.88,18.53,175.93,8.48
"131","m200041","EHS","hit2rec7","d1",10.434,NA,5.259,NA,320.59,53.42,6.09,288.85,57.58,110.03,127.16,168.47,122.62,737.42,432.53
"132","m200050","EHS","hit2rec7","d1",9.399,NA,1.168,NA,90.97,6.77,12.86,4.06,23.84,131.19,68.94,5.78,8.95,87.56,4.82
"133","m200004","EHS","hit2rec7","d7",11.822,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","m200005","EHS","hit2rec7","d7",7.422,NA,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","m200006","EHS","hit2rec7","d7",8.933,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","m200016","EHS","hit2rec7","d7",12.615,NA,0.566,NA,109.75,5.33,5.44,4.06,18.86,80.07,38.09,6.42,20.75,48.74,4.82
"137","m200017","EHS","hit2rec7","d7",18.797,NA,0.609,NA,99.8,5.33,5.44,4.06,9.92,88.81,65.6,23.88,8.95,32,4.82
"138","m200018","EHS","hit2rec7","d7",9,NA,0.533,NA,157.36,16.04,5.44,4.06,8.84,68.11,34.06,5.78,8.95,32,4.82
"139","m200030","EHS","hit2rec7","d7",10.401,NA,0.537,NA,145.72,5.33,5.44,4.06,9.92,141.35,42.95,37.33,22.82,32,8.48
