"","Animal","Type","Recovery","SacTime","FABP2","HSP70PL","HSP70LIV","Cort","GCSF","IL5","IL6","IL10","IL13","IP10","KC","MIP1a","MIP1b","MIP2","RANTES"
"1","m190061","EHS","hit1","min30",NA,2.09,0.212,537505.221,1105,14.47,90.02,16.7,44.93,445.82,1928,29.11,221.85,221.2,22.67
"2","m190074","EHS","hit1","min30",66.626,2.511,0.235,301576.945,668.11,36.34,87.14,21.87,44.93,301.81,1870,14.69,270.7,115.25,2.44
"3","m190105","EHS","hit1","min30",85.043,1.796,0.403,446060.161,1204,39.63,230.92,21.87,48.54,367.7,1488,5.24,162.81,138.8,6.64
"4","m190118","EHS","hit1","min30",121.622,1.807,0.429,462343.156,697.59,6.39,157.05,10.47,32.66,408.14,301.41,29.11,408.65,221.2,13.49
"5","m190125","EHS","hit1","min30",181.208,2.123,0.306,407265.143,581.07,11,163.32,27.36,25.98,375.34,1261,5.24,368.94,321.74,5.2
"6","m190163","EHS","hit1","min30",42.779,1.576,0.49,582175.362,214.92,16.16,45.92,15.07,25.98,249.03,567.99,19.32,219.31,90.05,4.26
"7","m190242","EHS","hit1","min30",455.633,1.197,0.498,394793.108,598.05,18.63,98.31,5.23,34.37,616.38,1767,10.32,212.84,239.54,1.53
"8","m200025","EHS","hit1","min30",193.374,2.369,0.508,304691.925,295.83,5.33,36.81,4.06,18.86,220.97,445.92,5.78,95.49,32,29.26
"9","m200044","EHS","hit1","min30",189.774,2.093,0.469,410570.47,621.6,10.94,101.92,24.56,16.49,333.61,821.64,6.42,211.78,273.3,16.33
"10","m190062","EHS","hit1","hr3",21.543,1.417,1.388,213022.195,1592,20.26,19.5,10.47,32.66,441.45,853.71,5.24,9.5,5.09,1.58
"11","m190075","EHS","hit1","hr3",66.542,0.754,1.703,334995.286,2516,20.26,83.62,77.84,36.1,551.74,1332,19.32,34.29,127.21,4.26
"12","m190106","EHS","hit1","hr3",15.44,1.996,1.784,73943.515,1957,31.51,12.38,25.49,70.84,417.63,752.1,181.02,68.34,221.2,24.08
"13","m190119","EHS","hit1","hr3",26.426,1.309,2.016,274528.916,4508,5.4,24.37,62.31,44.93,2120,1596,10.32,74.78,115.25,8.59
"14","m190126","EHS","hit1","hr3",21.875,1.738,1.271,535921.272,1876,37.08,62.97,80.09,29.28,637.71,838.47,6.34,74.78,5.09,4.26
