"","Recovery","SacTime","FABP2","HSP70PL","HSP70LIV","Cort","GCSF","IL5","IL6","IL10","IL13","IP10","KC","MIP1a","MIP1b","MIP2","RANTES","logFABP2","logHSP70PL","logCort","logGCSF","logIL5","logIL6","logIL10","logIL13","logKC","logMIP1a","logMIP1b","logMIP2","logRANTES"
"1","hit1","min30",5.183,1.166,0.092,16657.474,304.66,23.44,10.93,5.23,32.66,153.94,182.85,10.32,9.5,5.09,1.53,164.538403920757,15.3579087928301,972.0614283577,571.919640070856,315.444396470881,239.151130218845,165.441127807683,348.615108754232,520.866614459539,233.408376005342,225.12917986065,162.727783056243,42.5267735404344
"2","hit1","min30",7.067,1.228,0.004,116733.177,207.42,3.12,4.92,4.76,30.96,80.15,102.04,10.32,9.5,32.55,3.8,195.543606170872,20.5386829724951,1166.76460709302,533.474572316159,113.783300182139,159.330853050422,156.024766824333,343.269604872153,462.536489327361,233.408376005342,225.12917986065,348.277736865458,133.500106673234
"3","hit1","min30",NA,1.427,0.283,56251.911,18.34,20.26,2.47,5.81,36.1,82.47,66,49.63,9.5,5.09,9.08,NA,35.5574338494699,1093.75952928229,290.908446682832,300.864849882054,90.4218150639886,175.958057086382,358.629286533883,418.965474202642,390.459548959935,225.12917986065,162.727783056243,220.60741926132
"4","hit1","min30",9.065,1.622,0.216,42396.912,57.2,3.34,2.47,4.76,22.76,137.3,66.5,5.24,9.5,5.09,4.26,220.442084420681,48.3659955693221,1065.48308083791,404.655389838575,120.597080698861,90.4218150639886,156.024766824333,312.500460925813,419.720194766181,165.632149833295,225.12917986065,162.727783056243,144.926916028128
"5","hit1","min30",6.177,1.98,0.371,75311.971,141.09,12.76,8.34,7.7,29.28,80.8,149.19,189.1,27.84,221.2,19.81,182.083271671376,68.3096844706444,1122.93943785761,494.939798462507,254.631527791664,212.106321637066,204.122032885964,337.690468909311,500.522066139476,524.227597566441,332.647383546622,539.906726964818,298.618686071046
"6","hit1","min30",8.19,NA,0.049,44704.468,107.7,5.4,2.47,4.76,25.98,154.7,72.97,19.32,9.5,5.09,1.53,210.291389786498,NA,1070.78287308637,467.934958416234,168.639895357023,90.4218150639886,156.024766824333,325.732701124245,429.004839777753,296.114082878437,225.12917986065,162.727783056243,42.5267735404344
"7","hit1","min30",NA,0.92,0.281,45857.856,189.38,14.47,11.66,4.76,39.59,120.01,196.25,80.5,9.5,5.09,5.2,NA,-8.3381608939051,1073.33018043378,524.375557855535,267.207754064339,245.616418092235,156.024766824333,367.857656111804,527.938935666252,438.825718442452,225.12917986065,162.727783056243,164.865862558738
"8","hit1","hr3",10.033,NA,0.098,2307.862,220.93,12.76,2.52,6.42,32.66,127.52,50.98,49.63,9.5,62.77,18.84,230.587965994348,NA,774.407683381265,539.784590926294,254.631527791664,92.4258901523332,185.941811770187,348.615108754232,393.143339894797,390.459548959935,225.12917986065,413.947725232944,293.598226914822
"9","hit1","hr3",6.006,1.806,0,11563.096,406.51,44.3,7.22,6.42,36.1,109.89,48.96,10.32,9.5,5.09,22.19,179.275896956114,59.1114454994794,935.557392643818,600.760852893129,379.098467705109,197.685495290473,185.941811770187,358.629286533883,389.100363820407,233.408376005342,225.12917986065,162.727783056243,309.96417369445
"10","hit1","hr3",7.095,1.601,0.336,7869.163,426.53,20.26,2.47,4.76,39.59,89.92,79.9,100.42,9.5,115.25,2.44,195.939031061201,47.0628434014578,897.070698251539,605.568270443455,300.864849882054,90.4218150639886,156.024766824333,367.857656111804,438.077585277223,460.936139060656,225.12917986065,474.710368187676,89.1998039305111
"11","hit1","hr3",6.916,1.333,0.23,2395.288,338.92,11.88,5.69,6.42,25.98,121.79,56.01,75.42,9.5,62.77,3.34,193.383756782104,28.7432041196572,778.125875313742,582.576409133026,247.48563139345,173.871024813824,185.941811770187,325.732701124245,402.553024622174,432.307249183021,225.12917986065,413.947725232944,120.597080698861
