"","Recovery","SacTime","FABP2","HSP70PL","HSP70LIV","Cort","GCSF","IL5","IL6","IL10","IL13","IP10","KC","MIP1a","MIP1b","MIP2","RANTES","logFABP2","logHSP70PL","logCort","logGCSF","logIL5","logIL6","logIL10","logIL13","logKC","logMIP1a","logMIP1b","logMIP2","logRANTES"
"12","hit1","hr3",6.282,NA,0.341,13233.484,190.88,3.12,2.47,6.42,22.76,109.33,71.48,19.32,9.5,5.09,7.13,183.768840111645,NA,949.050556333279,525.164495834961,113.783300182139,90.4218150639886,185.941811770187,312.500460925813,426.941769029123,296.114082878437,225.12917986065,162.727783056243,196.43112344262
"13","hit1","hr3",8.852,0.854,0.335,7380.768,117.59,21.06,9.46,9.75,61.44,103.26,133.71,147.02,14.5,90.05,14.96,218.06434221888,-15.7824085193567,890.663297722078,476.720399783532,304.737550670583,224.707238306379,227.726728500976,411.806108883942,489.567327562657,499.056863194594,267.414864942653,450.036507162196,270.537997254633
"14","hit1","hr3",5.59,1.305,0.098,47455.049,232.92,3.12,2.47,4.76,29.28,129.59,162.68,80.5,9.5,5.09,1.53,172.097928716701,26.6203040774657,1076.75382051212,545.069504696892,113.783300182139,90.4218150639886,156.024766824333,337.690468909311,509.178508103902,438.825718442452,225.12917986065,162.727783056243,42.5267735404344
"15","hit1","d1",5.586,0.93,0.429,8682.331,195.39,4.39,4.13,10.47,76.55,142.97,73.46,29.11,14.5,62.77,8.1,172.026346752299,-7.25706928348354,906.904531998883,527.499756122642,147.932922708708,141.827740697294,234.851402488245,433.794412210369,429.674104039152,337.108175775753,267.414864942653,413.947725232944,209.186406167839
"16","hit1","d1",12.034,1.15,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.773597679816,13.9761942375159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","hit1","d1",9.286,1.677,0.189,7504.616,164.51,11,2.47,4.76,29.28,96.26,53.49,5.24,9.5,5.09,1.58,222.850788959773,51.7006482841072,892.327357686914,510.297135863133,239.789527279837,90.4218150639886,156.024766824333,337.690468909311,397.949472054316,165.632149833295,225.12917986065,162.727783056243,45.7424847038875
"18","hit1","d1",9.033,1.302,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.088453816771,26.3901543786378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","hit1","d1",NA,1.326,0.345,37768.575,122.9,15.32,5.69,7.7,36.1,108.96,32.69,70.3,9.5,32.55,12.02,NA,28.2166891763671,1053.92326866389,481.137101657199,272.915916431245,173.871024813824,204.122032885964,358.629286533883,348.706922073612,425.277179881662,225.12917986065,348.277736865458,248.657192910706
"20","hit1","d1",10.061,1.507,0.322,7557.389,127.45,7.34,10.93,4.76,32.66,109.71,88.29,49.63,9.5,5.09,1.53,230.866656330991,41.0120919644358,893.028103914913,484.772413082212,199.333884262642,239.151130218845,156.024766824333,348.615108754232,448.062685091349,390.459548959935,225.12917986065,162.727783056243,42.5267735404344
"21","hit1","d1",NA,0.917,0.299,22594.913,166.78,8.28,2.47,4.76,32.66,168.28,84.35,100.42,34.29,48.12,13.98,NA,-8.66478067256722,1002.54800714286,511.667557865884,211.384296839717,90.4218150639886,156.024766824333,348.615108754232,443.497480899198,460.936139060656,353.485376647483,387.369789110648,263.762773680566
"22","hit1","d1",6.431,1.068,0,5133.499,163.76,14.9,2.47,4.76,22.76,119.63,34.75,5.24,9.5,5.09,1.53,186.113004715273,6.57877405380032,854.354277194013,509.840194135303,270.136121295141,90.4218150639886,156.024766824333,312.500460925813,354.81795720108,165.632149833295,225.12917986065,162.727783056243,42.5267735404344
"23","hit1","d1",5.76,0.98,0.232,30860.833,147.14,29.62,9.46,4.76,19.64,124.7,42.89,19.32,9.5,5.09,1.53,175.09374747078,-2.02027073175195,1033.72431184239,499.138451450412,338.844980883965,224.707238306379,156.024766824333,297.756830292632,375.863869852879,296.114082878437,225.12917986065,162.727783056243,42.5267735404344
"24","hit1","d7",6.377,NA,0.064,NA,211.87,11.56,5.44,4.06,16.49,208.8,137.67,6.42,54.23,32,4.82,185.269776733313,NA,NA,535.59728790362,244.755086324423,169.377906086785,140.118297361364,280.275413657151,492.485951707485,185.941811770187,399.323426085297,346.573590279973,157.277392806251
"25","hit1","d7",6.354,NA,0.019,NA,276.18,14.74,5.44,4.06,27.74,117.8,58.03,48.88,8.95,48.74,12.49,184.908453584732,NA,NA,562.10528270572,269.056488676119,169.377906086785,140.118297361364,332.287541488669,406.096011820252,388.936831486334,219.165353228676,388.650004819706,252.492832413749
"26","hit1","d7",9.018,NA,0.253,NA,258.81,32.62,7.57,4.06,29.07,116.71,57.6,37.33,36.35,32,4.82,219.922257999889,NA,NA,555.60942017566,348.492559719287,202.419306744936,140.118297361364,336.970671457078,405.352256770185,361.979729292649,359.319420397953,346.573590279973,157.277392806251
"27","hit1","d7",12.706,NA,0.34,NA,855.64,153.48,8.08,4.06,34.49,125.07,56.75,43.29,41.97,138,4.82,254.207432284434,NA,NA,675.18497269336,503.357026537875,208.9391872533,140.118297361364,354.066942694875,403.865565636151,376.792166145389,373.69550773455,492.725368515721,157.277392806251
"28","hit1","d7",5.176,NA,0,NA,157.36,11.56,5.44,4.06,26.43,125,49.91,48.88,41.97,32,4.82,164.40325571986,NA,NA,505.85361740808,244.755086324423,169.377906086785,140.118297361364,327.44997286162,391.022138348152,388.936831486334,373.69550773455,346.573590279973,157.277392806251
"29","hit1","d7",7.164,NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.906848419847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","hit1","d7",7.176,NA,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.074212475649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","hit2rec1","min30",NA,NA,NA,48193.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.29856195605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","hit2rec1","min30",NA,NA,NA,43043.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1066.99595415143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","hit2rec1","min30",NA,NA,NA,48356.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.63602296242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","hit2rec1","min30",NA,NA,NA,19854.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989.61743259649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","hit2rec1","min30",NA,NA,NA,18463.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.35587800384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","hit2rec1","min30",NA,NA,NA,45867.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073.35061323084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","hit2rec1","min30",NA,NA,NA,34252.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044.15004405137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","hit2rec1","min30",NA,NA,NA,20922.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.857482182544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","hit2rec1","hr3",NA,NA,NA,56923.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1094.94671941438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","hit2rec1","hr3",NA,NA,NA,46340.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1074.37810178942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","hit2rec1","hr3",NA,NA,NA,10179.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.815632125145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","hit2rec1","hr3",NA,NA,NA,20897.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,994.736476312706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","hit2rec1","hr3",NA,NA,NA,31455.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035.63432744713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","hit2rec1","hr3",NA,NA,NA,58053.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.91156617174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","hit2rec1","hr3",NA,NA,NA,2725.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791.040791031438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","hit2rec1","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","hit2rec1","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","hit2rec3","min30",NA,NA,NA,22762.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003.28626070418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","hit2rec3","min30",NA,NA,NA,17173.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975.112458213705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","hit2rec3","min30",NA,NA,NA,44055.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069.32139028465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","hit2rec3","min30",NA,NA,NA,57432.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095.83695418011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","hit2rec3","min30",NA,NA,NA,88748.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139.35652649938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","hit2rec3","min30",NA,NA,NA,33721.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042.59015410825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","hit2rec3","min30",NA,NA,NA,17739.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.354642111536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","hit2rec3","hr3",NA,NA,NA,14162.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.83771239309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","hit2rec3","hr3",NA,NA,NA,13070.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.815009070095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","hit2rec3","hr3",NA,NA,NA,23343.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005.80949708996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","hit2rec3","hr3",NA,NA,NA,3322.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810.857842834839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","hit2rec3","hr3",NA,NA,NA,12120.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940.263470161571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","hit2rec3","hr3",NA,NA,NA,15693.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966.098793795118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","hit2rec3","hr3",NA,NA,NA,2280.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773.215876611988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","hit2rec3","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","hit2rec3","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","hit2rec7","min30",NA,NA,NA,59092.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.68565503195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","hit2rec7","min30",NA,NA,NA,30598.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032.87214311582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","hit2rec7","min30",NA,NA,NA,40013.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059.69737506231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","hit2rec7","min30",NA,NA,NA,39881.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059.36677609841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","hit2rec7","min30",NA,NA,NA,54635.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090.84303114639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","hit2rec7","min30",NA,NA,NA,35653.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048.15949406799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","hit2rec7","min30",NA,NA,NA,95840.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147.04362480735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","hit2rec7","hr3",NA,NA,NA,30585.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032.82949532445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","hit2rec7","hr3",NA,NA,NA,78391.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126.94659346174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","hit2rec7","hr3",NA,NA,NA,3599.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818.84732678155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","hit2rec7","hr3",NA,NA,NA,1378.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.859307504898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","hit2rec7","hr3",NA,NA,NA,49255.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080.47808631971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","hit2rec7","hr3",NA,NA,NA,19312.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.852196946252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","hit2rec7","hr3",NA,NA,NA,26120.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017.04756107744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","hit2rec7","hr3",NA,NA,NA,17787.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.624562045679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","hit2rec7","d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","hit2rec7","d7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
