"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"159","m190158","EXC","hit1","d1",145,4.6,14,386,258,9.9,26,97,0.4,3.7,4.7,0.9,8.02,6.26,0.45,1.32,78,5.6,16.4,8.69,12.5,37.55,43,14.4,33.4,16.8,436,0.28,6.4,30.7,595.583736946483,457.471097850338
"160","m190211","EXC","hit1","d1",148,5.1,27,237,222,9,22,74,0.6,3.8,4.8,1,17.89,14.74,0.1,3.05,82.4,0.6,17.1,8.13,13.7,33.95,42,16.8,40.3,16.6,222,0.13,6.1,31.7,546.806014113513,430.406509320417
"161","m190223","EXC","hit1","d1",148,4.7,17,163,200,9.5,23,62,0.4,3.7,4.9,1.2,14.77,11.97,0.74,2.07,81,5,14,9.23,13.1,38.86,42,14.2,33.7,16.6,444,0.29,6.5,30.7,509.375020080676,412.713438504509
"162","m190235","EXC","hit1","d1",147,4.9,18,282,245,9.3,20,87,0.5,3.2,4.9,1.7,8.87,6.86,0.43,1.58,77.4,4.8,17.8,9.32,13.4,38.81,42,14.4,34.5,16.6,581,0.31,5.4,28.5,564.190707093811,446.590811865458
"163","m190069","EXC","hit1","d7",147,5.2,21,267,169,9.3,22,80,0.6,3.6,4.5,0.9,10.3,9.26,0.13,0.91,89.9,1.3,8.8,9.14,13.4,39.18,43,14.7,34.2,17.4,508,0.28,5.5,29.1,558.724865840025,438.202663467388
"164","m190082","EXC","hit1","d7",147,5,19,817,202,9.8,22,172,0.4,3.6,4.8,1.2,8.13,6.41,0.07,1.65,78.9,0.8,20.3,9.08,14,38.05,42,15.4,36.8,16.8,606,0.34,5.7,29.6,670.563909486,514.749447681345
"165","m190095","EXC","hit1","d7",146,5.1,20,371,230,9.7,27,89,0.5,3.7,4.7,1,9.47,8.02,1.1,0.35,84.7,11.6,3.7,8.75,13.1,36.4,42,14.9,35.9,17.2,630,0.38,6,29.1,591.620206260744,448.863636973214
"166","m190133","EXC","hit1","d7",149,4.6,21,158,209,9.9,28,47,0.4,3.6,4.8,1.2,7.95,6.97,0.43,0.56,87.6,5.4,7,9.37,12.5,39.02,42,13.3,32,17.2,641,0.35,5.4,28.5,506.259503302697,385.014760171006
"167","m190205","EXC","hit1","d7",151,5.3,25,192,220,9.9,22,64,0.5,3.7,5,1.3,12.99,11.03,0.63,1.33,84.9,4.9,10.2,8.94,13.3,37.33,42,14.8,35.5,16.6,493,0.32,6.5,31.7,525.749537202778,415.888308335967
"168","m200007","EXC","hit1","d7",149,5,27,118,243,9.6,27,44,0.3,3.8,4.9,1.1,10.18,8.72,0.42,1.04,85.6,4.1,10.3,9.33,13.2,38.26,41,14.1,34.4,17.2,495,0.29,5.8,30.2,477.068462446567,378.418963391826
"169","m200019","EXC","hit1","d7",145,4.9,18,175,190,9.4,27,59,0.4,3.5,4.7,1.2,11.63,8.88,0.07,2.68,76.3,0.6,23.1,9.07,13.1,37.31,41,14.4,35.1,16.6,394,0.22,5.7,30.2,516.478597392352,407.753744390572
