EHI0,EHI1,EHI3,EHI7
206,269,283,366
248,324,309,245
219,228,230,244
223,285,280,240
303,320,364,294
221,299,302,289
190,279,267,269
290,394,359,248
291,307,303,268
260,325,349,299
214,282,323,222
240,357,400,260
270,319,303,268
297,399,301,354
195,284,260,341
267,310,356,292
102,150,282,311
250,312,245,328
207,302,253,308
217,247,242,251
291,386,278,282
229,302,295,290
326,360,259,301
230,253,246,315
197,283,298,240
281,312,186,347
248,250,284,263
201,259,267,278
250,296,272,344
278,311,309,330
219,304,231,361
304,393,314,267
194,291,225,246
222,349,,289
270,349,,258
264,360,,236
261,364,,
225,268,,
280,362,,
262,333,,
,,,
264,,,
292,,,
199,,,
222,,,
219,,,
234,,,
226,,,
256,,,
241,,,
283,,,
295,,,
262,,,
262,,,
279,,,
220,,,
212,,,
232,,,
203,,,
237,,,
176,,,
237,,,
224,,,
237,,,
197,,,
263,,,
190,,,
228,,,
280,,,
259,,,
297,,,
204,,,
233,,,
187,,,
,,,
256,,,
211,,,
202,,,
220,,,
218,,,
257,,,
182,,,
232,,,
272,,,
301,,,
205,,,
191,,,
260,,,
307,,,
266,,,
249,,,
262,,,
234,,,
234,,,
223,,,
219,,,
259,,,
243,,,
267,,,
219,,,
276,,,
226,,,
225,,,
279,,,
318,,,
254,,,
279,,,
210,,,
247,,,
224,,,
235,,,
,,,
232,,,
195,,,
262,,,
259,,,
211,,,
234,,,
285,,,
226,,,
220,,,
239,,,
235,,,
263,,,
238,,,
221,,,
218,,,
233,,,
169,,,
253,,,
209,,,
196,,,
258,,,
188,,,
250,,,
192,,,
223,,,
235,,,
199,,,
208,,,
274,,,
182,,,
240,,,
280,,,
208,,,
296,,,
239,,,
237,,,
264,,,
237,,,
237,,,
