EHI0,EHI1,EHI3,EHI7
262.5,0,115.5,190
238.5,16.5,166,155
404,0,140.5,138
281.5,11,102.5,210.5
266.5,74,135,139
295,50,302,148.5
308.5,0,139,178.5
163,0,160.2,188.5
293,0,285.5,0
210,0,16.5,121.5
225.5,0,0,138
203,0,110,261.5
367,0,130,107.5
291.5,0,183.5,43.5
335.5,101.5,131.5,141.5
185,0,,158
299.5,0,,
198,35,,
,,,
282.5,,,
336.5,,,
289.5,,,
234,,,
223.5,,,
289.5,,,
240.5,,,
223,,,
183.5,,,
177.5,,,
187.5,,,
316,,,
236.5,,,
295,,,
240.5,,,
243,,,
251.5,,,
315,,,
18,,,
272.5,,,
296,,,
355.5,,,
248.5,,,
309,,,
211.5,,,
237,,,
284,,,
316.5,,,
235.5,,,
225.5,,,
210,,,
256.5,,,
352.5,,,
240.5,,,
185.5,,,
287,,,
,,,
202.5,,,
214.5,,,
186.5,,,
248,,,
321.5,,,
326.5,,,
272.5,,,
236,,,
299.5,,,
142,,,
254,,,
295,,,
253,,,
298.5,,,
229,,,
337.5,,,
211.5,,,
356.5,,,
302,,,
207.5,,,
332,,,
273,,,
301.5,,,
339,,,
243.5,,,
190,,,
231.5,,,
181,,,
165,,,
233.5,,,
183,,,
325,,,
290.5,,,
,,,
289,,,
204,,,
125,,,
307.5,,,
225.5,,,
217.5,,,
286.5,,,
316.5,,,
234.5,,,
226,,,
175.5,,,
270,,,
275,,,
264.5,,,
274,,,
201.5,,,
251.5,,,
169,,,
347,,,
474,,,
274.5,,,
279,,,
242,,,
305.5,,,
320,,,
308.5,,,
287,,,
303.5,,,
284,,,
270.5,,,
299.5,,,
235,,,
313.5,,,
263,,,
