yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
200,210,b,min-30,EHI,0.75,1.25,1
450,460,*acd,min-30,EHI,1.75,2.25,2
210,220,*b,min-30,EHI,2.75,3.25,3
250,260,*b,min-30,EHI,3.75,4.25,4
200,210,b,hr-3,EHI,0.75,1.25,1
300,310,*acd,hr-3,EHI,1.75,2.25,2
210,220,b,hr-3,EHI,2.75,3.25,3
210,220,b,hr-3,EHI,3.75,4.25,4
