EHI0,EHI1,EHI3,EHI7
240,303,316,402
284,359,343,281
252,268,265,280
257,319,313,275
335,350,398,324
253,333,339,324
223,315,307,305
323,427,393,284
324,339,336,302
293,360,383,338
246,317,357,258
272,389,436,292
308,353,342,301
332,435,341,390
227,316,292,377
299,342,393,327
134,186,315,347
281,343,279,362
240,335,288,345
254,284,278,285
325,421,310,319
263,338,325,328
360,395,291,336
266,287,279,352
231,318,328,272
315,345,224,379
287,282,324,296
232,291,308,312
282,331,310,380
315,347,341,362
260,343,268,391
343,431,344,295
234,329,263,279
252,380,,319
303,380,,293
294,390,,267
292,395,,
256,300,,
316,400,,
297,368,,
,,,
298,,,
323,,,
234,,,
259,,,
256,,,
266,,,
261,,,
287,,,
274,,,
315,,,
330,,,
298,,,
298,,,
316,,,
252,,,
245,,,
264,,,
235,,,
272,,,
216,,,
269,,,
256,,,
267,,,
228,,,
296,,,
234,,,
270,,,
311,,,
297,,,
327,,,
239,,,
262,,,
221,,,
,,,
291,,,
247,,,
240,,,
259,,,
256,,,
291,,,
223,,,
267,,,
307,,,
334,,,
239,,,
224,,,
294,,,
344,,,
304,,,
284,,,
302,,,
271,,,
271,,,
255,,,
256,,,
300,,,
282,,,
303,,,
253,,,
321,,,
266,,,
262,,,
323,,,
348,,,
287,,,
311,,,
242,,,
277,,,
258,,,
269,,,
,,,
268,,,
233,,,
296,,,
294,,,
243,,,
267,,,
318,,,
261,,,
252,,,
270,,,
266,,,
293,,,
271,,,
255,,,
253,,,
268,,,
203,,,
290,,,
241,,,
226,,,
288,,,
223,,,
285,,,
227,,,
262,,,
266,,,
233,,,
238,,,
308,,,
219,,,
271,,,
312,,,
243,,,
334,,,
271,,,
270,,,
299,,,
274,,,
271,,,
