yval,ystar,labs,SacTime2,Recovery2,x1,x2,xstar
640,655,*,min-30,EHI,0.75,1.25,1
640,655,*,min-30,EHI,1.75,2.25,2
640,655,*,min-30,EHI,2.75,3.25,3
640,655,*,min-30,EHI,3.75,4.25,4
600,615,*,hr-3,EHI,0.75,1.25,1
600,615,*,hr-3,EHI,1.75,2.25,2
600,615,*,hr-3,EHI,2.75,3.25,3
600,615,*,hr-3,EHI,3.75,4.25,4
600,615,*,day-1,EHI,0.75,1.25,1
600,615,*,day-1,EHI,1.75,2.25,2
600,615,*,day-1,EHI,2.75,3.25,3
600,615,*,day-7,EHI,1.75,2.25,2
